alt_01D0_x_interp,alt_01D0_trend,altMPI_01D0_x_interp,altMPI_01D0_trend,asc_01D0_x_interp,asc_01D0_trend,ato_01D0_x_interp,ato_01D0_trend,azr_01D0_x_interp,azr_01D0_trend,bal_01D0_x_interp,bal_01D0_trend,bikMPI_01D0_x_interp,bikMPI_01D0_trend,brw_01D0_x_interp,brw_01D0_trend,brwIMAU_01D0_x_interp,brwIMAU_01D0_trend,bsc_01D0_x_interp,bsc_01D0_trend,cba_01D0_x_interp,cba_01D0_trend,cgo_01D0_x_interp,cgo_01D0_trend,cgoIMAU_01D0_x_interp,cgoIMAU_01D0_trend,cvoMPI_01D0_x_interp,cvoMPI_01D0_trend,eom_01D0_x_interp,eom_01D0_trend,gvnMPI_01D0_x_interp,gvnMPI_01D0_trend,gvnIMAU_01D0_x_interp,gvnIMAU_01D0_trend,jfjMPI_01D0_x_interp,jfjMPI_01D0_trend,kjnMPI_01D0_x_interp,kjnMPI_01D0_trend,kum_01D0_x_interp,kum_01D0_trend,lef_01D0_x_interp,lef_01D0_trend,mhd_01D0_x_interp,mhd_01D0_trend,mlo_01D0_x_interp,mlo_01D0_trend,mloIMAU_01D0_x_interp,mloIMAU_01D0_trend,namMPI_01D0_x_interp,namMPI_01D0_trend,nyaNIPR_01D0_x_interp,nyaNIPR_01D0_trend,oxkMPI_01D0_x_interp,oxkMPI_01D0_trend,sisMPI_01D0_x_interp,sisMPI_01D0_trend,smo_01D0_x_interp,smo_01D0_trend,smoIMAU_01D0_x_interp,smoIMAU_01D0_trend,spo_01D0_x_interp,spo_01D0_trend,syoNIPR_01D0_x_interp,syoNIPR_01D0_trend,vrsMPI_01D0_x_interp,vrsMPI_01D0_trend,zep_01D0_x_interp,zep_01D0_trend,zepIMAU_01D0_x_interp,zepIMAU_01D0_trend,zotMPI_01D0_x_interp,zotMPI_01D0_trend
2005.300462329,-83.08023582346354,2011.050994,-84.61103093214614,2005.316086377,-69.40498300178723,2021.690282,-100.45241957664264,2005.111472603,-81.09270510391396,2004.822518215,-92.36366740051247,2012.5397,-88.25259136634676,2005.249221842,-87.21672194881961,2022.208219,-94.74824591585765,2005.198021309,-87.48544210746516,2005.342104262,-83.21764406326673,2005.27408105,-68.39968182678514,2023.084932,-79.86550065451716,2011.075634,-81.8390088326226,2006.938552,-74.50720236071626,2018.001598,-72.69917781436277,1988.56011,-80.55685957701182,2012.646761,-74.85157834924905,2014.762207,-86.3027051112819,2005.333774734,-78.23564540125508,2005.281495434,-88.35498295211929,2005.201141553,-83.9059702393075,2005.262595129,-77.04809946411338,2022.756164,-85.53255108559274,2013.212185,-69.15671250140129,2005.66106,-83.1956650821709,2012.716975,-89.1994188632475,2010.94781,-85.80734403752193,2005.257460046,-68.83331269702158,2022.10411,-76.89731877021168,2005.112749239,-65.64924389603883,1995.17156,-78.88054459763903,2020.066736,-87.61461976344918,2008.312259032,-86.05635682177194,2012.71311,-85.66501938558127,2010.136152,-89.63157634491516
2005.319431126,-83.08647309481282,2011.173969,-84.79579421083824,2005.354452055,-69.42612895421644,2021.709447,-100.57507678115623,2005.245719178,-81.0234696845659,2005.474077245,-86.45357006403869,2012.580768,-88.2298894354274,2005.26293379,-87.18722695317433,2022.208219,-94.74824591585765,2005.217380137,-87.7357411341513,2005.349969559,-83.23368568922078,2005.397264079,-68.45511366700602,2023.09863,-79.82289984838111,2011.08516,-81.84482561275132,2006.938636,-74.50761153618939,2018.036734,-72.66144886616222,1992.11749,-79.5826673112028,2012.68355,-75.00439057128365,2014.781372,-86.32696032272375,2005.429539574,-78.12047556036318,2005.338928843,-88.1636895954117,2005.220766743,-83.88164297549862,2005.339288432,-76.8354253036481,2022.756164,-85.53255108559274,2013.214009,-69.16111076000927,2005.6834,-83.2088890335901,2012.736254,-89.17058094692811,2010.961614,-85.80869517247523,2005.301160578,-68.82807647993094,2022.10411,-76.89731877021168,2005.125827626,-65.66245370907602,1995.27555,-78.75553923242894,2020.173512,-87.91104847931966,2008.331367638,-85.80552686310747,2012.73224,-85.66053409195719,2010.144365,-89.61164045407936
2005.377049087,-83.10454032730621,2011.215265,-84.88062586292256,2005.379394977,-69.43959080792283,2021.728612,-100.69773398567128,2005.264726027,-81.02038485591511,2005.501263318,-86.34379618944986,2012.595655,-88.22166006838742,2005.306078767,-87.09492521356519,2022.219178,-94.68756168818999,2005.236558219,-87.98370321420832,2005.361101598,-83.25638998198183,2005.413751903,-68.45944463798777,2023.09863,-79.82289984838111,2011.093373,-81.84984064688905,2006.938716,-74.50800122711624,2018.098507,-72.5989231348523,1992.61202,-78.61379195739043,2013.339266,-79.01282964372594,2014.816736,-86.37262659682195,2005.467897641,-78.07416685905903,2005.358150685,-88.10197948734331,2005.379252283,-83.7010119335699,2005.358439878,-76.7812179731574,2023.309589,-85.60031395327638,2013.214694,-69.16276251831324,2005.72408,-83.23034511938616,2013.353754,-88.23915619810153,2010.980779,-85.81021601542416,2005.320576484,-68.8252939569237,2022.556164,-78.62857657034127,2005.131337519,-65.66801897154949,1995.35775,-78.65537142621868,2020.192677,-87.9646975205436,2008.388807301,-85.06570493074017,2012.74044,-85.65803244255576,2010.152693,-89.59142541707986
2005.396636225,-83.11015683166048,2011.248005,-84.95672280751533,2005.392893836,-69.44676993844182,2021.747777,-100.82039119018486,2005.28390411,-81.01727223583245,2005.512214612,-86.3021834613478,2013.080768,-89.0644947997518,2005.325268265,-87.05566568813484,2022.219178,-94.68756168818999,2005.25553653,-88.22381995733731,2005.426982496,-83.38893663873772,2005.565036149,-68.48560417537199,2023.136986,-79.70318807413447,2011.112424,-81.8610437325751,2006.938796,-74.50839091804197,2018.131703,-72.56729618043244,1992.84426,-77.98329819733382,2013.452715,-79.78203729024548,2014.837213,-86.39969397527422,2005.492631279,-78.04408431089944,2005.377355403,-88.04247495744991,2005.414973364,-83.66402418519877,2005.377635084,-76.72621497822314,2023.309589,-85.60031395327638,2013.215151,-69.16386449429149,2005.74099,-83.2381367016585,2013.372805,-88.22467477156206,2011.023387,-85.81156315568813,2005.375302511,-68.81711621657307,2022.556164,-78.62857657034127,2005.150401446,-65.68727447388513,1995.4509,-78.53410049332571,2020.211842,-88.01840821592535,2008.407881755,-84.82702999109165,2012.75137,-85.65469337451722,2010.178645,-89.52837578720205
2005.418173516,-83.11597960726003,2011.284452,-85.04865973309468,2005.398401826,-69.44963794528165,2021.768139,-100.95065399773003,2005.59086758,-81.12871022695501,2005.53293379,-86.23246334309037,2013.109344,-89.16685309739847,2005.382802511,-86.94053582781365,2022.542466,-93.16089981904335,2005.274733638,-88.459708383633,2005.475974125,-83.48444091477816,2005.73716895,-68.5006231883514,2023.20274,-79.49557827026325,2011.126113,-81.8688691240396,2006.938876,-74.5087806089688,2018.158853,-72.54225417529753,1993.4411,-76.59444661039586,2013.491045,-80.0334425346083,2014.856492,-86.42613351532779,2005.50917618,-78.02373829533893,2005.415664003,-87.92709744822045,2005.727283105,-83.33396221252346,2005.377657915,-76.7261494213946,2023.331507,-85.57300241998185,2013.259469,-69.2742002880322,2005.77937,-83.25341120232538,2013.467204,-88.18169447780643,2011.039471,-85.81132167266757,2005.391590563,-68.81460996204638,2022.589041,-78.73375425143065,2005.161898782,-65.69907216018372,1995.5961,-78.33558703919786,2020.231007,-88.07217405745901,2008.446142608,-84.35898945224291,2012.75956,-85.65161165224744,2010.518025,-88.77541504529653
2005.434453957,-83.12010560969999,2011.323011,-85.15432633176215,2005.455802892,-69.47848723428851,2021.787304,-101.07303849797628,2005.610045662,-81.14328170229354,2005.534141933,-86.22841670046787,2013.181726,-89.44438400125847,2005.383390411,-86.93938449126341,2022.542466,-93.16089981904335,2005.293997336,-88.6964150482955,2005.484415906,-83.50035837575246,2005.819075342,-68.51536641881948,2023.20274,-79.49557827026325,2011.265402,-81.92462036468068,2006.938956,-74.50917029989566,2018.189711,-72.51459207140374,1993.57808,-76.40508791690873,2013.530573,-80.28579531119985,2014.876228,-86.45329479514686,2005.525684932,-78.00343378741346,2005.451223364,-87.82440666787133,2005.760711568,-83.29241338327606,2005.396835997,-76.67097966426896,2023.331507,-85.57300241998185,2013.259698,-69.27479883252468,2005.79856,-83.25967850497466,2013.48614,-88.17842933779698,2011.061374,-85.81018874722645,2005.43239726,-68.80841725545113,2022.608219,-78.7941750528306,2005.161908295,-65.69908193166974,1995.78252,-78.06194272790748,2020.306127,-88.283028158303,2008.465372647,-84.13158996912217,2012.77049,-85.64748973446082,2010.523501,-88.76537593061566
2005.472792998,-83.12833926601996,2011.36231,-85.27037369889322,2005.475028539,-69.48752792614877,2021.806469,-101.19542299822398,2005.667579909,-81.18836856047177,2005.549391172,-86.18257074307725,2013.195415,-89.49918677838357,2005.402214612,-86.90251939407098,2022.542466,-93.16089981904335,2005.313099315,-88.92007635711468,2005.497888128,-83.52576102099044,2005.841219559,-68.52212757687073,2023.20274,-79.49557827026325,2011.270991,-81.9259147013907,2006.939034,-74.50955024854935,2018.214694,-72.49274343203933,1993.65205,-76.32009669315748,2013.569017,-80.52268208230798,2014.894936,-86.47996773488185,2005.547408676,-77.97622437379343,2005.473251522,-87.763266129569,2005.773820396,-83.27522161876679,2005.454349315,-76.50278551722948,2023.389041,-85.49365883147627,2013.297343,-69.37806688865545,2005.81783,-83.2650111764937,2013.506503,-88.17770554031107,2011.077687,-85.8088044304161,2005.531035008,-68.79703190700833,2022.608219,-78.7941750528306,2005.17005898,-65.70745408593136,1995.85101,-77.95821680770598,2020.325292,-88.33669206987149,2008.485048573,-83.89891777317473,2012.77869,-85.64381674342214,2010.534224,-88.74596154263025
2005.511130137,-83.13443632033355,2011.47884,-85.65480476324775,2005.507876712,-69.50215917777066,2021.825634,-101.31780749847022,2005.686748478,-81.20380739647399,2005.55761796,-86.15866090713877,2013.236483,-89.66415958080759,2005.459509132,-86.79407306981996,2022.542466,-93.16089981904335,2005.33238204,-89.14405269468371,2005.514197108,-83.55601634505892,2005.860197869,-68.52792210794208,2023.20274,-79.49557827026325,2011.281829,-81.92772743979756,2006.93911,-74.50992045492991,2018.239449,-72.47150349848565,1994.2274,-76.01759730689221,2013.605579,-80.74087518222913,2014.914215,-86.50751140405055,2005.563839422,-77.95564454353948,2005.527968037,-87.6162249811281,2005.801027397,-83.23954059875516,2005.492695967,-76.3890410496021,2023.389041,-85.49365883147627,2013.31685,-69.43556062877443,2005.83947,-83.26975119243896,2013.525554,-88.17921873497878,2011.09554,-85.80659548405055,2005.545038052,-68.7961281230534,2022.610959,-78.80262907803764,2005.189307458,-65.72722558085712,1995.94142,-77.81881000551992,2020.345312,-88.39265417444109,2008.599233455,-82.63765608794512,2012.79781,-85.63464861723449,2010.544833,-88.72724106808575
2005.588078387,-83.13816265154539,2011.520877,-85.8039670990342,2005.565391933,-69.52478030069116,2021.843259,-101.43027553659313,2005.725095129,-81.23427900286345,2005.568517884,-86.12970028403778,2013.250172,-89.72016640562802,2005.459952435,-86.7932548068929,2022.561644,-93.08869048700332,2005.351560122,-89.36293739179023,2005.717161339,-83.87535011669759,2005.9343379,-68.55875887004684,2023.20274,-79.49557827026325,2011.290042,-81.92898858156627,2006.939186,-74.51029066131046,2018.262093,-72.45237146851645,1994.51507,-75.93686441347901,2013.644023,-80.96243457085868,2014.954199,-86.56656226247712,2005.698200152,-77.77827447960141,2005.569151446,-87.51098765136545,2005.908694825,-83.07912044919892,2005.511879756,-76.3316139147545,2023.408219,-85.46489232442276,2013.337213,-69.49741105429749,2005.85591,-83.27249286439952,2013.563884,-88.1877385553398,2011.111739,-85.80406272537506,2005.545078006,-68.7961255443438,2022.610959,-78.80262907803764,2005.200372907,-65.73869092568609,1996.09185,-77.58853853869641,2020.34554,-88.39328974818466,2008.618463494,-82.4355525751602,2012.80874,-85.62894727077004,2010.552818,-88.71316708605671
2005.626259513,-83.13506418054733,2011.556355,-85.93204933955231,2005.571033105,-69.52672004500869,2021.862424,-101.55234665635255,2005.782648402,-81.27836287428184,2005.598671994,-86.06009329310167,2013.2897,-89.8818971167118,2005.487579909,-86.74225912733134,2022.561644,-93.08869048700332,2005.370633562,-89.57126558619272,2005.725190259,-83.88534208768355,2005.948445586,-68.56700821915516,2023.224658,-79.42578424549363,2011.301108,-81.93039186959373,2006.939268,-74.51069009451045,2018.286619,-72.43189972092362,1996.11749,-74.7166390612892,2013.680813,-81.16612690523465,2014.969827,-86.59040382826072,2005.736480213,-77.72505066851745,2005.588293379,-87.4637592726527,2005.913508371,-83.07158842772347,2005.550192161,-76.21648858715687,2023.408219,-85.46489232442276,2013.356606,-69.55901690679563,2005.87505,-83.27464897839697,2013.583505,-88.19586611218993,2011.136494,-85.799195443971,2005.586491629,-68.79466275175528,2022.641096,-78.89561409907876,2005.247399163,-65.78744935583069,1996.61906,-76.85771780220456,2020.345883,-88.39424589640349,2008.665253112,-81.96531175304297,2012.82787,-85.6176056715351,2010.561146,-88.69906513585632
