model,dD,FF,BB,Mic,Tot,Phys_pct
v1.0 (3×3),ben,67.02,82.71,436.24,585.98,59.56
v1.0 (3×3),ours,63.37,83.96,435.27,582.59,59.40
v2.0 (2-hemi),ben,63.49,84.55,437.33,585.38,58.46
v2.0 (2-hemi),ours,62.87,84.06,434.87,581.81,59.33
v3.1 (3×3 opt),ben,68.61,82.59,435.80,587.00,59.29
v3.1 (3×3 opt),ours,62.54,83.83,435.32,581.69,60.43
v3.2 (BB fix),ben,189.93,28.58,367.19,585.71,100.00
v3.2 (BB fix),ours,189.93,28.58,367.19,585.71,100.00
v3.3 (dD≥2010),ben,68.46,83.64,437.24,589.35,60.46
v3.3 (dD≥2010),ours,62.43,84.87,437.25,584.55,59.99
v4.0 (Mic/NM),ben,71.00,80.19,435.93,587.12,46.16
v4.0 (Mic/NM),ours,67.57,81.87,435.06,584.50,46.38
