Year,BB_G_mean,BB_G_std,FF_G_mean,FF_G_std,Mic_G_mean,Mic_G_std,BB_NH_mean,FF_NH_mean,Mic_NH_mean,BB_SH_mean,FF_SH_mean,Mic_SH_mean
1999,81.3198702352837,13.272934463893534,57.97001817758624,10.063664851203997,407.0638810884185,19.420840099429014,81.12187551404938,0.5065826597398644,327.0066599811883,0.19799472123431383,57.463435517846385,80.05722110723023
2000,82.87646867860458,13.541840870436058,58.13297590965696,10.503581210632415,409.0928661958022,19.569129035457685,82.71928030208625,0.9250960226668328,327.53595921242004,0.15718837651832362,57.207879886990135,81.55690698338218
2001,82.80254527919038,13.535286871004212,55.44508500957936,10.64518437714254,411.81174150374045,19.727308683161677,82.65874683524997,0.8770975681053347,328.30104113279634,0.14379844394039168,54.56798744147402,83.51070037094401
2002,83.16123512749776,13.644116479400799,51.36215667191943,10.772129438891955,414.6633129921289,19.84247943116299,82.97190648713661,0.8600508059854901,328.9166470735831,0.1893286403611412,50.50210586593395,85.74666591854574
2003,84.39426003575683,13.91715302797498,51.110698707800324,10.606340904291406,416.40075474381484,19.64488331155874,83.92824979997525,0.993488246079265,330.5287982511579,0.4660102357815962,50.11721046172106,85.87195649265688
2004,85.7013723064383,14.270633875014429,52.632805966925716,10.997727753162296,417.6397996478507,19.589590563307883,85.18214730994022,1.5899124546504109,332.05992747851195,0.5192249964980826,51.042893512275306,85.57987216933869
2005,84.52796974604901,14.479777070756944,51.11586850413013,11.647768786002533,422.45082575035093,19.66324709489828,84.01159539249825,2.7441360690979226,334.49210625028337,0.5163743535507672,48.3717324350322,87.95871950006759
2006,87.30567714536092,15.228565873678104,48.319656246992906,11.341290735344828,427.9455429438702,19.251159352040794,85.24091944558933,2.65644116556829,337.44607918161904,2.064757699771582,45.66321508142462,90.49946376225111
2007,87.93432512113647,15.787502284335458,49.7348903869891,12.83882400052905,432.6472778433301,19.550945616824745,85.93750053992451,4.027856732009796,340.119450317063,1.9968245812119594,45.7070336549793,92.52782752626706
2008,88.0717016084113,16.081511813119622,50.1346404671853,14.317860851873585,436.6324061248276,20.013522456086616,86.37770268338394,4.992411675853371,342.3577835909567,1.6939989250273624,45.14222879133193,94.27462253387081
2009,86.58060008201574,16.500100312785545,49.8150921489265,15.701433819268283,440.45638112775237,20.16707544222212,84.95022441722992,6.415472955653321,344.75667000962653,1.6303756647858185,43.39961919327318,95.69971111812579
2010,89.28602616418229,16.565354422651193,48.431104169398864,14.282187599750882,441.68805229763547,19.733680468550812,87.02720639302534,5.074257468958252,346.68358224092435,2.2588197711569684,43.35684670044061,95.00447005671114
2011,88.45362515028587,16.591399374115507,52.94267119157251,16.07429684347395,442.2288472626655,20.45175496050789,87.714113249782,6.263685530371329,348.30338654654656,0.7395119005038763,46.67898566120118,93.92546071611898
2012,90.81497261762257,16.730667190941197,55.0955322454042,15.898205099897663,444.16747580810204,20.436350325256512,89.99946136683832,5.98308497381968,350.91597301481653,0.815511250784253,49.11244727158453,93.25150279328547
2013,91.72513155167059,17.037638519318243,55.563638915814195,16.06379189594441,448.7277670689288,20.583534097764154,90.86867987051154,6.136287915162575,354.26428185766787,0.856451681159052,49.427351000651626,94.46348521126095
2014,92.60512651625072,17.085372052340468,54.46832644224276,15.827905951271655,453.4028127348676,20.738084832441267,91.63305319957098,5.647692380113835,357.62777916660747,0.9720733166797483,48.820634062128924,95.77503356826013
2015,91.4469868606859,17.243765016893494,54.39883567530138,16.96808823750635,459.7479830910967,21.34560570572982,90.99049122485314,6.326557565978636,361.56262266387057,0.45649563583274544,48.07227810932274,98.18536042722617
2016,92.19607322886846,17.529343332403243,55.3936198222648,17.40145186430646,461.9564289834277,21.48340877176318,91.71254594182005,6.7545618289762,363.80564151302855,0.483527287048425,48.6390579932886,98.15078747039914
2017,91.87657546497293,17.744180248413038,50.75544796824493,16.51833194171765,471.20823238480483,21.445531378376376,90.74621910516493,5.9495909510510225,369.14176596423204,1.130356359808015,44.80585701719391,102.06646642057281
2018,91.5325714658314,18.062349069220225,51.45013669988904,16.954708383302663,479.0559647400774,21.68317639006141,90.29107437037827,6.189736860448354,374.8755273731446,1.2414970954531277,45.26039983944069,104.18043736693282
2019,91.25327163571073,18.576332636994323,52.89795284924679,18.022171875570763,488.0389742292644,22.285707335346864,90.11909740102143,7.820759078132723,379.924493739887,1.134174234689276,45.077193771114075,108.11448048937743
2020,91.71266870973103,19.03487119116997,55.179999046671966,18.791414429119122,490.7689278713266,22.442914884432387,90.44116298018307,8.615948177782414,382.2572348229146,1.2715057295479677,46.56405086888955,108.5116930484119
2021,90.29061979646679,19.322927674450465,54.15859340580658,18.894767423415246,499.72289283180413,22.63685365093078,88.71887027291805,8.71000061895509,387.86119668225916,1.571749523548731,45.44859278685148,111.86169614954494
