year,NH_FF_median,NH_FF_p5,NH_FF_p95,NH_FF_mean,NH_FF_std,SH_FF_median,SH_FF_p5,SH_FF_p95,SH_FF_mean,SH_FF_std,Global_FF_median,Global_FF_p5,Global_FF_p95,NH_Mic_median,NH_Mic_p5,NH_Mic_p95,NH_Mic_mean,NH_Mic_std,SH_Mic_median,SH_Mic_p5,SH_Mic_p95,SH_Mic_mean,SH_Mic_std,Global_Mic_median,Global_Mic_p5,Global_Mic_p95,NH_BB_median,NH_BB_p5,NH_BB_p95,NH_BB_mean,NH_BB_std,SH_BB_median,SH_BB_p5,SH_BB_p95,SH_BB_mean,SH_BB_std,Global_BB_median,Global_BB_p5,Global_BB_p95
1999,4.481403474486086e-16,5.2720122736673434e-23,2.4685203954414606e-10,0.36263380299401726,2.775366546298916,64.32511523587158,47.66032722780518,78.83145815543536,63.81014522833492,9.764512249605694,64.45907409130419,47.66733218798339,79.78905678052054,326.6170149303172,302.83758919868444,354.02736246645753,327.0050882575406,15.324105656226624,75.35381853742305,58.94216608160567,93.54712804705353,75.76841978990392,10.689005444678525,402.1602023242205,373.1269065800966,435.5045664671385,81.17770823094125,59.069886135506614,101.28251350398814,80.67682706456199,12.991534426733837,1.1595651677045969e-17,6.216405600720624e-25,0.0009513151371308608,0.22912246620423468,1.2910107983602372,81.36922048664144,59.069886135506614,101.57774578054472
2000,3.7784889469327216e-16,4.398345990603538e-23,2.1562769382252518e-10,0.1977455234606342,2.079711918003325,53.315141166102705,35.45415495310287,68.591952175151,52.746955391845155,9.88131088711606,53.497068562514116,35.48879027429045,68.9273923008117,325.9247265407407,301.84844415382923,353.36290762600686,326.5833105689389,15.28175998908315,81.7558255092745,65.25542060456031,99.51981621983356,81.6795184640176,10.571610948719835,407.70886555899176,377.9766491601111,442.7237005703413,79.38564200902013,56.96434816059302,99.52667125393054,78.89625740974674,12.964987529992454,2.2596653130084466e-17,1.2953175643154316e-24,1.4956335607813553,0.31866699252818714,1.635670561386226,79.84615228078201,56.964348160606285,100.37525386409338
2001,4.639808497558248e-16,3.9542140030324864e-23,0.012516589129442418,0.5851290312739268,3.54043524029125,56.33219307920615,38.06894704699789,71.69688084712898,55.669764552087216,10.086509734335172,56.689544218496195,38.09900905371751,72.89780091980647,327.03966805173104,302.6465917570549,354.75510963656717,327.6469570126493,15.48898063580116,82.31832508240555,66.5378800482561,100.0423328200887,82.81293127065297,10.3753574882621,409.78214052179567,380.83644486988965,445.3555679270946,84.3317680199244,61.78562544520899,105.11690469688668,83.95140579376715,13.365171257653182,1.2082926747104182e-17,8.764959599178654e-25,3.968013141865524e-11,0.12042988335877546,0.9659884976040177,84.34801452514097,61.78562544520904,105.58477770978256
2002,5.997672441813946e-16,4.839981971980587e-23,14.608863326729384,1.7543316022379758,6.5522446614951,56.76855984660394,37.803186028488966,73.9071127839512,56.426115442204285,10.86255512491825,58.04156358063117,38.338181306356304,76.73766303203547,329.2118873186989,303.60809132295583,356.67382101417934,329.36114837366154,15.61941442443956,85.49538778034272,70.60583978449844,102.52051692544036,86.06469168675639,10.04691522851393,414.8757950814531,384.57049545805785,450.1185923858117,88.23262514505367,63.44822741137956,110.35896737828817,87.70050770786058,14.307871081524842,1.5100181694414608e-17,1.7322097342750904e-24,2.411710869584454e-11,0.0411398196691405,0.5267189601207789,88.23262514505367,63.44822741137956,110.35896737828817
2003,4.825022827548492e-16,5.16806986883491e-23,4.375706890064769e-10,0.5254683594470837,3.4326844830591634,44.56271330201001,25.200505901751505,60.868452853000896,43.990638626678404,10.830242096421165,44.802070054651566,25.493582576304032,62.34240431090195,330.8819584428299,307.05350038805614,358.59875090259794,331.45207789084157,15.4813803281845,90.39132172210955,75.19355597022336,109.54184025901206,91.34188478309699,10.672710849498397,422.37165996725247,391.52240670495473,458.4649274978567,82.84266148161964,60.544456685189836,103.92297055795954,82.48553928177762,13.422851953224887,2.3379272442171496e-17,1.972475842702495e-24,2.7891149204387923e-11,0.09200688445485244,0.830154982090011,82.84676441565782,60.54445668519686,104.20611777984271
2004,4.625900137404368e-16,2.610529847768542e-23,14.498567095396323,1.8887591920443378,7.192694693086138,44.831982139321084,25.965739718134277,61.1705353120806,44.293965789612486,10.757087073198226,46.117522353326066,26.33419325620861,66.63614895969401,328.4930006675065,304.93739287148526,356.8034429186424,329.17832834487933,15.419762055661268,85.94826501520711,70.84827394662742,103.17563375196228,86.50875593132714,10.132722759558048,415.1346552872361,385.8716406052631,450.24930730700487,82.01159369396234,58.11452471154765,103.67313550360275,81.53605574093949,13.985131274258121,1.4614097331663943e-17,1.9101053984385055e-24,1.2286041906419209e-11,0.08303660591401796,0.8128422618790436,82.15620437736726,58.11452471154765,103.74835896228277
2005,3.6428965732033448e-16,2.973541942922877e-23,0.5528803126183751,0.7660637361786575,4.483637574381497,51.319815719201216,31.266259981332162,67.57192006719062,50.57016291431174,10.992444556101844,51.74561139134251,31.272894614750438,68.75501808036533,334.23097474517533,308.8549494415973,361.9226670824231,334.69190234064973,15.72826281110004,81.99607737787855,64.81727194263509,101.75313665354449,82.44290175048037,11.328167929685756,416.62322940723675,387.6750649458048,448.5631153125779,84.03291769293442,61.23280358871032,105.1115956983982,83.72900707785348,13.563480570852823,6.108655082067098e-17,1.2538478033471113e-24,11.754794849781186,1.8174600101923475,4.67491054418267,85.42954105421974,61.23280358871032,109.14691622993594
2006,1.0910212451417803e-15,7.965192550194519e-23,29.764013072899616,3.931767104125529,10.929744811275668,61.08187472655344,42.84848076677364,76.98455684286161,60.446989607214604,10.34747025424094,63.01156137546968,43.621148988008194,89.90991384761419,334.5802927877555,307.9436211842066,364.84423050365336,335.10680846435963,16.527235741104295,81.0492204883536,65.67968180904228,98.59944032999057,81.26974493496667,10.38173121759091,415.5491786071764,385.7063641837007,451.4216519227481,90.84906441430354,63.76881097663267,113.65934220308573,90.05217099865611,15.36529026894503,1.4445366796465854e-17,7.660778845996945e-25,0.8596740916580912,0.3204586036803017,1.715490364300199,91.22543730107031,63.76881097663267,114.88784115172434
2007,1.5137066834246342e-14,9.759735204458187e-23,47.606840137759065,9.05486012006263,16.81660751555898,43.490539080550676,23.666091224362948,60.89288743473654,43.055187575392495,11.35310152827765,48.98956702860631,25.82281344654894,90.38049748903576,340.1309259548342,313.14476733329315,370.2174532611755,340.67305936957524,17.145500463929025,97.53773808397395,81.72938841603174,116.10117069834918,97.96301971703716,10.834940630900311,437.6521118384164,406.07170689802797,475.29282036993527,82.45779167137403,51.91875429826386,106.0574781664483,81.16732053800654,16.559073835538857,3.0252750392057235e-17,3.8887764775640605e-24,1.1729700267578665e-11,0.03791770889240273,0.44945608171031953,82.45779167137403,51.91875429826386,106.0772552552767
2008,6.380881459360561e-16,9.196712321913499e-23,16.044395902223897,2.1077578411204616,8.171244504653272,43.90430574563632,17.672362574318647,61.28536056637851,42.37064109386751,13.43837510311923,44.859742137585684,18.15076842239482,68.65737236252558,344.47191659494354,318.93644581292693,373.4083722874289,345.1042966769952,16.401871886335638,96.88612032020583,79.89953666722134,118.60060460207322,97.63536618213469,11.85726375617311,442.4918474728539,410.1344010097472,477.4195816607329,88.40952861823186,62.96172380497517,110.61437287182966,87.72904141843422,14.51857637457005,9.208831582177237e-17,1.7671288230983676e-24,14.563164774314165,2.3215742922098226,5.680190271186611,90.0504567818586,63.531816975943066,118.01861980936964
