Year,NH_mean,NH_std,SH_mean,SH_std,NH_SH_diff
2005,-84.9744747439109,0.6074518678933782,-69.37017476519134,0.2381265994944818,-15.604299978719567
2006,-82.74427111352317,0.24118825058433646,-69.1163941821132,0.2093195147653261,-13.627876931409972
2007,-81.73535997417308,0.31708776151324936,-69.96795991287179,0.2715881797216604,-11.767400061301288
2008,-82.18348482080036,0.2885127904630683,-69.93361813764744,0.19884784720640125,-12.249866683152916
2009,-80.98791499415822,0.3198725737368386,-69.58491339362884,0.246402036045154,-11.403001600529379
2010,-86.4276899007452,0.7921776879450203,-71.41031980524679,0.2157010799898116,-15.017370095498407
2011,-85.24805281887704,0.3519313618888207,-70.96501510804717,0.18640534392806216,-14.283037710829873
2012,-85.38485251609613,0.33671838094066403,-70.34892321404807,0.17555348329639936,-15.03592930204806
2013,-85.13907584089958,0.29851411233918956,-69.53338437803205,0.18823528188492117,-15.605691462867526
2014,-86.29978864991539,0.3096950577166847,-70.5260393211218,0.1860014397408555,-15.773749328793585
2015,-86.78985461235962,0.3981557644854192,-70.60450256751923,0.18994162856697575,-16.185352044840386
2016,-87.59414280487886,0.25903283135223204,-71.09358982804808,0.18358872861347064,-16.500552976830775
2017,-87.53810358279813,0.40233022568746923,-71.46356727718867,0.1827260323587562,-16.074536305609456
2018,-87.80308941556837,0.3481623065462561,-72.2094345258077,0.22171888779837004,-15.593654889760671
2019,-88.03608122768291,0.4164859770256276,-72.4885131271875,0.16515553658627405,-15.547568100495411
2020,-89.20135004240237,0.23812483456565614,-72.14542031389583,0.24050940896472767,-17.05592972850654
2021,-90.42067014129717,0.25121768186540294,-73.94023313483012,0.19360816340494555,-16.480437006467042
2022,-90.306607911899,0.23388496907360534,-80.15362067173741,2.2668815302853393,-10.152987240161579
2023,-90.02915533218571,0.227497157506048,-78.0339205394359,0.2270766099876554,-11.995234792749812
