Year,AnnAvg_glob_smooth_mean,AnnAvg_glob_smooth_std,AnnAvg_glob_smooth_meanR,AnnAvg_glob_smooth_stdR
2005.0,-76.75550969150116,0.6249372564040933,0.0,0.0
2006.0,-76.03047898108488,0.6294497241146515,0.7250307104162808,0.36667566456194567
2007.0,-76.42629697680329,0.6422374198622371,0.3292127146978822,0.42218140045611385
2008.0,-76.54568103423982,0.6525454680153393,0.20982865726135472,0.403275183083036
2009.0,-76.3075950389343,0.6698734101066665,0.44791465256686025,0.4795658781561776
2010.0,-77.33810366896635,0.9199448482255871,-0.5825939774651853,0.911945144818564
2011.0,-77.16254502620032,0.6361250610759503,-0.40703533469915526,0.7417963761948707
2012.0,-76.88077590462933,0.540973334795216,-0.1252662131281645,0.6808466903203346
2013.0,-76.10703789428695,0.5264921557246307,0.6484717972142163,0.6964927375468883
2014.0,-77.09214441321619,0.4963491553662014,-0.3366347217150232,0.6882095195692457
2015.0,-77.41420507214804,0.5189099556360266,-0.6586953806468613,0.7095005232036289
2016.0,-77.84649140279643,0.5224822232578875,-1.0909817112952624,0.712032213405578
2017.0,-78.16547696878948,0.49927599719001214,-1.4099672772882994,0.6927372474803836
2018.0,-78.4206017365499,0.4432255551653353,-1.6650920450487332,0.6919741457718629
2019.0,-79.00402698738296,0.4209057842162666,-2.2485172958817974,0.6635667775391638
2020.0,-79.18331402934818,0.4116138648078174,-2.4278043378470016,0.678407120765363
2021.0,-80.88263873078256,0.41956941148556093,-4.127129039281399,0.6815265963127095
2022.0,-81.97001610929809,0.4540003171845586,-5.214506417796923,0.6884831036090943
2023.0,-82.51903449591825,0.4460510920893728,-5.763524804417099,0.7531070996644361
