Year,Glob_smooth_mean,NH_smooth_mean,SH_smooth_mean
2005.0192307692307,,,
2005.0384615384614,,,
2005.0576923076922,,,
2005.0769230769229,,,
2005.0961538461536,,,
2005.1153846153843,,,
2005.134615384615,,,
2005.1538461538457,,,
2005.1730769230765,,,
2005.1923076923072,,,
2005.2115384615379,-76.48151463866807,-83.33677292033101,-69.62654383789155
2005.2307692307686,-76.7807825930031,-83.79004706569808,-69.76079479899877
2005.2499999999993,-76.94721307118432,-84.1221000073683,-69.8245327449237
2005.26923076923,-76.86631578458147,-83.98108943384436,-69.73458557468004
2005.2884615384608,-76.67428752328686,-83.5512765646027,-69.69100834493344
2005.3076923076915,-76.36510609963871,-82.8396724351751,-69.82118163770097
2005.3269230769222,-76.4225816029358,-82.80433190231966,-70.17059360785416
2005.346153846153,-76.91690207509734,-83.29558454444047,-70.49260679728326
2005.3653846153836,-77.03811273640537,-83.22860223555523,-70.82591366259388
2005.3846153846143,-77.09987306989946,-83.05207670143132,-71.12854885685188
2005.403846153845,-77.08721796092114,-82.7707910040763,-71.37908402951606
2005.4230769230758,-76.99230641644918,-82.39954688735732,-71.55350001242448
2005.4423076923065,-76.81680754391216,-81.96094427207103,-71.64504642333699
2005.4615384615372,-76.5779993251878,-81.48385104368136,-71.66021142062753
2005.480769230768,-76.30887891078437,-81.00097200148276,-71.61897663997881
2005.4999999999986,-76.04325018581497,-80.54873907698018,-71.54955769932857
2005.5192307692294,-75.81168457633699,-80.15913875551112,-71.48301381920086
2005.53846153846,-75.6528544714623,-79.8717342577321,-71.44712083122369
2005.5576923076908,-75.59801187363337,-79.74062292823457,-71.46020641519767
2005.5769230769215,-75.66205270465981,-79.80444035126698,-71.52749515938773
2005.5961538461522,-75.84523241003336,-80.07394381105415,-71.63795196155529
2005.615384615383,-76.12660421887645,-80.51470935479837,-71.76946299535186
2005.6346153846137,-76.46141030162528,-81.07003976891943,-71.89265263577138
2005.6538461538444,-76.8020079593868,-81.58368672637064,-71.97794442888332
2005.673076923075,-76.91711523873884,-81.86212179369244,-71.99751052146877
2005.6923076923058,-77.18058344871997,-82.41796726280386,-71.93516368907375
2005.7115384615365,-77.3787772649513,-82.93130607911276,-71.78704553743937
2005.7307692307672,-77.49124373298457,-83.37179942363802,-71.56568570278219
2005.749999999998,-77.51980775162205,-83.70949121838747,-71.29779402188575
2005.7692307692287,-77.47679663163349,-83.92663397373617,-71.01409584241942
2005.7884615384594,-77.38360404458385,-84.02663960125649,-70.73891438214396
2005.80769230769,-77.26486375970279,-84.03693481761317,-70.49248682037339
2005.8269230769208,-77.14450403633067,-83.99508031109994,-70.29346705041537
2005.8461538461515,-77.04161946757935,-83.93808200499758,-70.1445899117154
2005.8653846153823,-76.96857567543458,-83.89704805386323,-70.04065005307726
2005.884615384613,-76.92904350309118,-83.89388169422361,-69.96548810951798
2005.9038461538437,-76.91917204754485,-83.93971971797716,-69.90115740029837
2005.9230769230744,-76.92969204711302,-84.031644530388,-69.83029895333205
2005.9423076923051,-76.94740376413203,-84.15346612275233,-69.74256067734488
2005.9615384615358,-76.95889458246177,-84.28159255096739,-69.63580749798848
2005.9807692307666,-76.95371902277768,-84.38923809310292,-69.51711418558007
2005.9999999999973,-76.92157922126302,-84.44226003434247,-69.39957230223744
2006.019230769228,-76.86209154289448,-84.42415400789191,-69.29866811635308
2006.0384615384587,-76.77342909131825,-84.31377036335745,-69.22736521099566
2006.0576923076894,-76.65901552328464,-84.11023871463075,-69.19568788067578
2006.0769230769201,-76.52446513889839,-83.82620038259304,-69.20441723044338
2006.0961538461509,-76.37451668898461,-83.48662753433781,-69.2440620531152
2006.1153846153816,-76.2158869842908,-83.11995761794688,-69.29960244153149
2006.1346153846123,-76.05401098117997,-82.75556684775641,-69.35227767061413
2006.153846153843,-75.89392484053688,-82.41473622856002,-69.38396819456932
2006.1730769230737,-75.7428942138351,-82.1147075434968,-69.38409760960973
2006.1923076923044,-75.60801879852767,-81.8745178850904,-69.35003293593233
2006.2115384615352,-75.4971961667525,-81.70905710276408,-69.2905793912255
2006.2307692307659,-75.41843558333859,-81.616372420084,-69.22342277115068
2006.2499999999966,-75.37848788811365,-81.5872853799226,-69.17280740774439
2006.2692307692273,-75.38034696540014,-81.60018745626564,-69.16336448514814
2006.288461538458,-75.42210432481954,-81.63092909172036,-69.21497318602108
2006.3076923076887,-75.49668877358855,-81.65696973648241,-69.33908359955612
2006.3269230769195,-75.58981107658471,-81.6507236882818,-69.53345227257407
2006.3461538461502,-75.68346036472278,-81.58989661305667,-69.78168588692934
2006.365384615381,-75.75781359990995,-81.45638388909673,-70.05652406224439
2006.3846153846116,-75.7931257164682,-81.24090825671668,-70.33134850341851
2006.4038461538423,-75.77455731932993,-80.94253852854875,-70.5826523620266
2006.423076923073,-75.69599660747427,-80.57498972442968,-70.7888886573961
2006.4423076923038,-75.56101789687014,-80.1612030068459,-70.93724152321316
2006.4615384615345,-75.3856463708104,-79.72816043973188,-71.03306344988236
2006.4807692307652,-75.19707768774613,-79.30688260541369,-71.09091578791462
2006.499999999996,-75.02467305783851,-78.92630592207591,-71.13685753332716
2006.5192307692266,-74.89843663669734,-78.61420558945028,-71.19938109944377
2006.5384615384573,-74.85093772856081,-78.40683634424092,-71.30427976516728
2006.557692307688,-74.90369592541369,-78.34447479306579,-71.46764995045812
2006.5769230769188,-75.06686932329983,-78.44854424295731,-71.69221944575244
2006.5961538461495,-75.33782598966114,-78.72231896263092,-71.95996094774273
2006.6153846153802,-75.68603330313671,-79.13658212465374,-72.24328227394547
2006.634615384611,-76.06641893512666,-79.6389400867113,-72.51397092871125
2006.6538461538416,-76.4458124044533,-80.18401554140479,-72.74278364588749
2006.6730769230724,-76.79931410809735,-80.73123216004049,-72.89447174810327
2006.692307692303,-77.09772749466397,-81.24467419064987,-72.94365952861463
2006.7115384615338,-77.3038297286771,-81.69234275499286,-72.88414948991229
2006.7307692307645,-77.40033274090786,-82.04382805301498,-72.72274533977281
2006.7499999999952,-77.38818336173983,-82.27300089838532,-72.48224506168525
2006.769230769226,-77.28254098951174,-82.3593236778972,-72.19690172806958
2006.7884615384567,-77.10842876423222,-82.31802338079879,-71.89766959717313
2006.8076923076874,-76.89641484352049,-82.18840062407682,-71.60624427730808
2006.826923076918,-76.67646683539472,-82.01344365174222,-71.33963549949257
2006.8461538461488,-76.47364041218114,-81.8383593134406,-71.1089025963354
2006.8653846153795,-76.3053480148145,-81.70114467888445,-70.91161564811804
2006.8846153846102,-76.1838115971646,-81.62864496740158,-70.7405847216019
2006.903846153841,-76.10909530109191,-81.63957386405119,-70.58087783280023
2006.9230769230717,-76.07756327529228,-81.73809363547859,-70.42048385022927
2006.9423076923024,-76.07855950097421,-81.9097462849448,-70.25137028453221
