year,FF_median,FF_p5,FF_p95,FF_mean,FF_std,Mic_median,Mic_p5,Mic_p95,Mic_mean,Mic_std,BB_median,BB_p5,BB_p95,BB_mean,BB_std
1999,27.913765764509776,2.082268237970909e-21,116.02894905530242,37.845571755110065,40.53131807766495,416.3439133917905,372.62581727231463,451.2959634400029,414.84024490734237,23.960123106664046,96.03622370388837,42.44804515133353,134.51815902735194,93.19100438903354,27.838429908742032
2000,7.828650780342457,3.9278108917422187e-22,99.44267168056702,26.637141167331823,34.990093766154175,421.61861376552656,381.31099607203794,454.332800688235,420.2973553035073,21.884678311957526,94.5810544387134,44.70116739720441,129.57953637186182,91.50142059568357,25.792299444350544
2001,31.644025127354865,2.675174217556042e-21,120.85752476026296,40.96946788229299,41.923340934370614,418.28396006416887,372.995409899907,454.1455669465424,416.4902635010168,24.46170700179231,94.03318261424471,41.60441888935303,133.7408067049489,91.33158302726675,28.37408658212864
2002,59.09381538638473,2.572200484370811e-20,146.4863167637217,61.998544137969134,47.32214153008348,412.2553661487643,366.5050944254864,452.2312920605136,410.9383452910569,26.416120147828323,87.8009723794249,33.85080789902443,134.18030233933104,86.40420216466882,30.71000135683869
2003,20.733712889484536,6.327317631180013e-22,113.9562177551148,34.45107670094572,40.06778699102121,427.88747648013947,383.50576486296427,462.1877513955639,425.85286695906797,23.57305159480972,90.36924889781713,37.8657270808496,128.97546797188124,87.56274722714566,28.00573500169206
2004,45.840164462593805,3.893011352664134e-21,145.03059465711203,53.33617741552666,49.441736902755515,412.1906693055349,363.20690059651525,450.2406597441722,409.3317293534735,27.397261424452942,81.72129343298238,23.96244591242935,124.43324124300617,78.78977223561492,31.03215038031359
2005,4.886834450268196,3.9096171704235463e-22,103.45547128071749,26.861699868101837,36.47062769480465,430.17048054560775,388.80714497388595,461.8237987058091,428.08996943023647,22.41581167982277,100.49201620031927,47.20623216491314,135.99002491343592,97.02629657948289,26.4856966128676
2006,57.884370439008194,1.2499737862741673e-20,158.47380833824658,63.49230683862314,52.026853005343455,415.5475383483722,366.09176588248283,460.817768476936,414.4851061525374,28.937245842773727,93.13075501206299,35.570981922185844,142.72602008446148,91.09978334761409,32.516878137656924
2007,95.70589809867337,1.1762105884592846e-14,185.96971377170266,94.00780118125076,55.896720557663144,414.558115550789,360.9595685789002,463.4209058431568,413.48809328567444,31.109070781380623,62.13122942568681,6.637887142291179,117.73628917056031,62.38909293225653,32.785527111798686
2008,8.404245790556786,4.1038633128193036e-22,135.69289557391866,35.47747899392501,48.08871598781465,450.34169188885073,392.0276110974717,487.1229448097605,445.33681060562196,29.124615807720183,98.83384506267136,37.74055055757412,136.54637984256573,94.37293413301997,29.782584953125593
2009,68.65809407696301,1.7731599652170044e-19,179.0947719890486,74.62682464021513,57.62208543307696,425.7538672556103,370.8145346535738,476.29799073961857,425.33095950827936,31.84942301453234,76.87543169451718,15.04406853316816,127.42188261990333,75.16191941144794,34.36841728074058
2010,70.50628022433506,8.031192523181898e-20,170.6981419559063,72.72945744722627,54.17833476478709,424.929315201289,372.04097605933623,472.7943654915688,424.00042012294864,30.285509625668233,78.51928890451262,21.754434403374688,128.69863346329763,77.78660020760348,32.563395412230896
2011,106.10840939852699,2.175969478442069,201.24747096500067,105.91774691392807,58.34474402465809,408.57984721606636,358.5001483153097,463.4626245331634,409.7028757803596,31.521460151507142,62.97694225598714,4.989247154654837,121.88089120755816,63.447515132718245,34.32059416827458
2012,4.266397094180884e-10,5.471850403810926e-22,107.07157170550407,25.04102479337765,36.70681638074417,454.8364623346017,411.57093912579325,489.51084888318775,453.2638617121923,23.14388043596055,107.94292197299039,52.87084556763142,142.9883910099775,104.27080433761739,27.317016939606795
2013,64.67324671279977,2.5262723097007104e-20,169.42657205420554,68.69102012519357,54.87425703886951,442.83834807825644,390.46017550872074,491.0087554381193,442.12543880320317,30.228923210439937,87.20648517344635,26.649416669397066,138.56075758639423,85.3957094256083,33.979175439880684
2014,66.20613714674673,1.6112497455310364e-20,171.41171809234592,71.39616826156688,55.78972254651281,442.79050763030057,390.83768027685807,490.2077820364434,442.4526320643487,30.29522660755769,95.5470330473232,31.111083147992943,147.79627379078528,93.45784994278188,35.03154565514823
2015,64.17791834601852,5.550958275863326e-20,164.34676773269055,67.48759346993226,54.80140973741199,452.29595772624714,400.81488460642095,496.50729517555004,450.92694169642624,29.364328906042278,86.33218243789611,25.442256412822918,140.50747609646046,85.71222013369744,35.196488862662484
2016,56.30240261073095,1.0654363655859399e-20,157.61569007212265,61.79585995855968,51.818859336733105,456.2469341735733,404.94162821946236,499.0259120379746,454.0141163608269,28.988920452552804,86.8842295993879,28.120962344255084,135.27403466584457,85.47031590358529,32.91771453064173
2017,39.478561881898855,2.878453145640489e-21,146.4964749676228,50.15406457102527,49.92018087272119,473.8846192091502,419.6074245884095,513.9928214597801,471.14455545836967,28.334452758996573,90.08101595117355,29.23646718929815,135.72278658593814,86.7768012351025,32.644187463118655
2018,66.8575914816526,1.670050412896776e-20,164.55806781395844,69.23399389565157,55.484725445106655,457.02968843068203,403.5440628202375,503.1167105897908,455.5035400545287,30.564331234363383,91.52675492541808,30.02658033394461,145.267050430118,91.14597575198644,35.00180702613392
2019,2.6905370530289894e-11,6.317239417595212e-22,105.12879786644497,23.15962679394474,36.54082729793153,503.18848161604797,459.54253385299324,539.2544342546262,501.85929583619037,24.118534315933335,107.5647660030259,49.689239653844155,146.17618831896812,103.66773575689068,28.85496946725473
2020,54.547535772508155,1.4127402913054838e-20,166.54553885082223,62.422236551691746,55.563165894003475,497.06998270807173,441.98018908051705,541.6274135263697,494.6651054029774,30.35886577115617,89.97712453638627,23.432060810240177,142.05269629635336,87.93994088791302,36.099773940904115
2021,87.62585376162082,3.458351106964891e-19,194.78403503713076,87.5741771727528,61.67662658526364,488.5740149911079,433.08543836258406,543.8103577568794,489.1377951660254,33.330519271579114,73.53012277963484,5.576063421969218,138.2209116602013,75.22804369435421,38.5610218616036
