1.998000000000000000e+03,-2.350357084504655916e+02,7.595585299094277154e+00
1.999000000000000000e+03,-2.272044120118052888e+02,7.275426326136022581e+00
2.000000000000000000e+03,-2.265331641321365339e+02,7.258031972502627660e+00
2.001000000000000000e+03,-2.266091514927680350e+02,7.245522429635444794e+00
2.002000000000000000e+03,-2.330242282208896825e+02,7.470633515004792891e+00
2.003000000000000000e+03,-2.338579206558668204e+02,7.542805049115432148e+00
2.004000000000000000e+03,-2.303022684696092597e+02,7.364775726573594916e+00
2.005000000000000000e+03,-2.264102004866095967e+02,7.251995926931944503e+00
2.006000000000000000e+03,-2.288096033140287489e+02,7.297272654166508943e+00
2.007000000000000000e+03,-2.238642312246863071e+02,7.169472696064501882e+00
2.008000000000000000e+03,-2.292916099706859541e+02,7.364368818267883476e+00
2.009000000000000000e+03,-2.280356733019864919e+02,7.270229945531149873e+00
2.010000000000000000e+03,-2.267469450183075992e+02,7.297699137563537164e+00
2.011000000000000000e+03,-2.268515114971831679e+02,7.256100293354364794e+00
2.012000000000000000e+03,-2.333356833239227797e+02,7.534473850636764780e+00
2.013000000000000000e+03,-2.298027354680164365e+02,7.360338594013096980e+00
2.014000000000000000e+03,-2.316873812886163364e+02,7.418148254465832814e+00
2.015000000000000000e+03,-2.297937278523414477e+02,7.352373610423752481e+00
2.016000000000000000e+03,-2.288782492780048301e+02,7.342918339767374292e+00
2.017000000000000000e+03,-2.322166936953873915e+02,7.469520482128095829e+00
2.018000000000000000e+03,-2.326037445154826742e+02,7.480351716936605833e+00
2.019000000000000000e+03,-2.360436099540490034e+02,7.572175044469513949e+00
2.020000000000000000e+03,-2.317456477800708399e+02,7.460734358894473672e+00
2.021000000000000000e+03,-2.464142290594139695e+02,8.180603319375203242e+00
2.030000000000000000e+03,-2.306290971025972851e+02,8.666824742870598897e+00
