year,NHext,Trop,SHext
2005,-85.62,-75.54,-70.20
2006,-84.23,-74.99,-69.91
2007,-84.41,-75.09,-71.12
2008,-85.21,-74.99,-71.00
2009,-84.04,-75.30,-70.58
2010,-85.43,-76.08,-71.75
2011,-85.03,-76.22,-71.19
2012,-85.90,-75.51,-70.60
2013,-84.55,-75.18,-69.52
2014,-85.90,-76.24,-69.99
2015,-86.82,-76.00,-70.84
2016,-87.39,-76.19,-71.62
2017,-87.72,-76.67,-71.61
2018,-87.35,-76.90,-72.54
2019,-88.04,-77.71,-72.56
2020,-89.04,-77.95,-71.80
2021,-90.90,-79.80,-73.04
2022,-91.46,-80.70,-75.00
2023,-92.23,-81.31,-75.24
2024,-92.87,-82.30,-76.62
