year,FF_mean,FF_std,Mic_mean,Mic_std,BB_mean,BB_std
1999,20.74860234185145,50.074402063695615,425.8845172715309,27.232488186100824,97.73489789614536,31.203108285057606
2000,30.042363434042958,49.29294354081212,422.9312964942305,26.80132071684853,95.13762610229608,30.877400103409244
2001,27.83859214404502,49.82437374640404,425.345290802333,26.965404205877928,94.87848405550932,31.218141463501585
2002,31.621778470886646,49.92719644097496,423.88763867057287,26.899336510667673,91.66912145105366,31.259907925466553
2003,30.81738301480921,50.407080992252624,425.8740472630942,26.98102530467031,93.19551807686933,31.622697387684415
2004,36.4771883686175,50.151116647897005,424.85108015853655,26.861686488912614,92.61585621325841,31.528630923252692
2005,43.568628757631785,50.242851409005944,425.01535860611534,26.906652788010838,87.46891653776282,31.37727693986415
2006,40.99798085194719,51.97050535792911,430.4043118450653,27.983705000105225,90.11471777357887,32.02046413962106
2007,46.050579545770006,51.608390376776846,433.16977522024393,27.833850939213033,89.02906061564293,31.92577638701805
2008,59.22965385556545,50.81670501768953,430.2292614710708,27.556651240296883,83.29820243501223,31.346647794882315
2009,68.78307457278663,50.94523987809022,428.71456829372215,27.439273660864515,77.25766319278604,31.283615647817893
2010,49.71198744861747,52.74624134398994,439.4357224769459,28.2862810131594,88.14573682253234,32.50425335068393
2011,61.05986931769834,52.22328047485483,436.2801579599968,27.893499413636693,84.15840839468837,32.280382384899255
2012,60.23092332328367,52.525773395110306,439.795200462396,27.911973739844406,87.90970122845488,32.66761038122692
2013,58.8739037044301,53.48800535655925,445.3472256202521,28.16751855084904,89.63675119390776,33.49227631123386
2014,48.67988558832177,54.17507896861177,454.9247146570395,28.60568511992133,94.69571115242184,34.06734236425931
2015,56.79235136948136,54.22629361405246,456.88284962261594,28.66729791273391,89.72505648994792,34.049490781052526
2016,56.77591882945478,54.47997254212893,459.6273979308528,28.777739678894033,90.93120899137003,34.294816284066854
2017,41.48480624048658,56.08810643877666,474.4190329561654,29.596000024656934,95.70668817869107,35.45520117811167
2018,39.941468293660854,56.97145446281289,483.4603443121938,30.1647573095546,96.38882027799357,35.9168474874736
2019,45.814637067048196,57.82346038489271,490.1236496669643,30.51028878661874,93.98429091186789,36.57106018909698
2020,47.62136084865,58.23465982666174,493.0821940476495,30.633859594158356,94.68081184492682,36.94510858211606
2021,42.55264309789941,59.82403624052194,504.14594100155546,31.35097806130036,95.186068321458,37.96530426935767
