year,FF_mean,FF_std,Mic_mean,Mic_std,BB_mean,BB_std
1999,20.769505431314496,49.171558596682154,425.86322180738887,26.586276930699114,97.73529027082436,31.11515383485289
2000,30.047611352673187,48.423673022662584,422.91698189861023,26.190396686890836,95.14669277928604,30.787894470226405
2001,27.842069096893823,48.96120497863314,425.3333005940085,26.370856255079783,94.88699731098502,31.112598835898737
2002,31.60771932951911,49.15046529922412,423.87732819279,26.34671283415213,91.69349107020409,31.180696477494422
2003,30.80130398378711,49.64612396169224,425.86936742476246,26.44572913816386,93.21627694622322,31.535445335199633
2004,36.43526607826225,49.48418745380097,424.84949946423075,26.353531189603682,92.65935919791954,31.497315047463736
2005,43.506372742515886,49.607727145242755,425.01688236937485,26.44250041777394,87.52964878961919,31.317252624278723
2006,40.94522923021026,51.241713865471795,430.3924291571055,27.42478243371949,90.17935208327562,31.98570827247064
2007,45.999830671792274,50.86376088878951,433.1650677778011,27.332791429808267,89.08451693206351,31.84054493762178
2008,59.17657394860186,50.04734985812507,430.23643573781163,27.11230923645669,83.34410807523504,31.191038067482076
2009,68.7399753292426,50.04430365221813,428.7259256453037,26.96559279587937,77.28940508474857,31.032690454321788
2010,49.71241818458616,51.75213704086184,439.438829279347,27.75853719322865,88.14219928416257,32.25861850379211
2011,61.037740296897404,51.33041390478978,436.30482391593875,27.49938412967705,84.15587145954741,31.998558436432386
2012,60.22592891425908,51.57599820808097,439.803434748716,27.420277147734623,87.90646135115948,32.42852521680048
2013,58.84900744125084,52.57002120742192,445.34735517652916,27.641756564095083,89.66151790081,33.30119145331945
2014,48.664915177560665,53.29976430501132,454.9199729864957,28.104998396605446,94.71542323372672,33.900686022967236
2015,56.75610119350235,53.391309678711906,456.8810599741286,28.171472214360016,89.76309631441435,33.8747377625291
2016,56.75650725446623,53.57352122006549,459.6195558623329,28.251422223778206,90.95846263487843,34.077587740990396
2017,41.46880485769789,55.120513841897505,474.4151235131718,29.08869364804363,95.72659900447334,35.1880171059837
2018,39.91389731985832,56.07328798297325,483.4540438213213,29.645332504114183,96.42269174266862,35.705681294856106
2019,45.765248921447714,57.08724035334637,490.1279469436574,30.047974850853507,94.02938178077537,36.43064027399814
2020,47.567659453198736,57.52408545597152,493.0886512279778,30.193016938287887,94.72805606004984,36.82721773567267
2021,42.4759381447237,59.27903684917141,504.15194765789204,30.92457465068039,95.2567666182972,37.95962097019331
