year,FF_mean,FF_std,Mic_mean,Mic_std,BB_mean,BB_std
1999,20.075215723730377,49.519262405251176,426.0599841211073,26.916513886593126,98.23281766469016,31.653575127074717
2000,29.390961512854847,48.76661682348037,423.0868768969834,26.51471522629851,95.63344762073123,31.34854123682888
2001,27.195947540812,49.30158404375673,425.4942360799503,26.682197403960213,95.37218338112497,31.67643193970791
2002,30.988293993518493,49.45911486435168,424.0134498887277,26.618686351727515,92.17679471026703,31.767145211047435
2003,30.194716800048024,49.93308445258757,426.0036975691548,26.740815672135923,93.68853398557009,32.067594405627375
2004,35.85935612785075,49.75286661939463,424.9596688666814,26.610658526364546,93.12509974588035,32.06100185874868
2005,42.96983141519832,49.825757637093815,425.1112170175841,26.676707897037314,87.97185546872754,31.866893470672487
2006,40.38037111075818,51.53704786820192,430.501538267102,27.728048493753764,90.63510109273119,32.54640413395769
2007,45.46254069062905,51.046383189002796,433.2685882460024,27.614773882619584,89.51828644502541,32.291667281473885
2008,58.656806593802656,50.315484951849164,430.3074719634773,27.330036336730416,83.79283920436852,31.79273802659974
2009,68.24396036240022,50.29965398458781,428.77103915325466,27.150734461420726,77.74030654363999,31.659681525330953
2010,49.13566855232926,52.04735941892907,439.5270392360173,27.97505702157746,88.63073895974921,32.85087482923171
2011,60.49805259923564,51.53750855328466,436.36580069725227,27.62408910826087,84.6345823758956,32.58237332630778
2012,59.63531940649072,51.909872705905066,439.88349321263223,27.569565242477704,88.41701239501158,33.14363753247891
2013,58.272926053034155,52.800739101265386,445.43163121550384,27.796721918175415,90.15332325005204,33.917085410418885
2014,48.04873959485584,53.58815883595489,455.0320824596434,28.337523583102797,95.21948934328393,34.49335066840402
2015,56.1730026391894,53.66995834876873,456.9688411604768,28.4022712593946,90.25841368237913,34.490399956984824
2016,56.18144417764729,53.81836692412243,459.70651272781515,28.472678922892765,91.44656884621517,34.693087753024265
2017,40.872865451509306,55.40836794820188,474.51521764832825,29.327835313114203,96.22244427550552,35.78872591779576
2018,39.3048793792177,56.33687108799217,483.55305571629134,29.882752100341587,96.9326977883392,36.29043064426125
2019,45.200571865994284,57.19119119202969,490.20476331000685,30.247554409057543,94.51724246987928,36.928230226827736
2020,47.008106960423085,57.58468487438968,493.1586816632323,30.350039118614678,95.21757811757095,37.31834061478111
2021,41.90323659481033,59.29882041435948,504.2257608168847,31.100090092619414,95.75565500921785,38.390963849450046
