year,FF_c13_mean,FF_c13_std,FF_dD_mean,FF_dD_std,Mic_c13_mean,Mic_dD_mean
1999,156.14647820757114,28.5809377478447,62.800318030994006,31.095447504583653,352.7148726352899,446.06103281186705
2000,165.81516397899827,28.284504835779323,71.50634698023461,31.331469217041764,349.8061220515712,444.11493905033484
2001,166.64046470352903,28.2550038142617,70.84587916014995,31.50316690542117,350.6919022983583,446.48648784173736
2002,171.03758360940563,27.9750247871108,75.19250041814466,31.60418006665455,349.0269549831075,444.8720381743686
2003,175.1510429313993,27.829564317114656,76.5655104500069,31.72913459309715,348.4519054233735,447.03743790476597
2004,177.7328315132365,27.803391825123434,81.14960637184971,31.840727271265703,349.44529322717597,446.0285183685628
2005,171.7448713886682,28.223251959728703,84.47223874568829,31.86729123955286,356.56003251284176,443.83266515582164
2006,171.04585882110683,28.499622823100214,82.74840652781369,32.18097801683557,360.9011516494845,449.1986039427777
2007,175.21745303413263,28.722031516985265,87.44967377896464,32.178181299517696,364.1679623475242,451.93574160269225
2008,177.22992724909838,28.921526349296588,96.46455163371078,32.46774938958898,367.2771905125502,448.04256612793773
2009,174.3195421740816,29.21848591417156,102.74653376145932,32.074189523062145,372.29776388521327,443.8707722978356
2010,178.7996280004155,29.058232818406612,91.74377109774325,32.35767956850667,370.5058187476802,457.56167565035247
2011,184.21997868570753,28.99158938772708,100.77720080818871,33.12266044400669,370.692456986676,454.1352348641949
2012,190.56681952498897,28.926386528238588,102.40875273662603,33.232748688716036,370.5670054891455,458.72507227750845
2013,191.7311885737815,29.129939935647375,102.398821638024,33.53662315863761,375.18069194480853,464.51305888056606
2014,190.9334566050643,29.372905327431674,94.57061555049799,34.354484814177354,379.8908547927188,476.2536958472851
2015,184.7098573552041,29.99688164916739,97.9948142449292,34.74865136176963,389.6244001268411,476.3394432371161
2016,187.03454823416388,30.126936326905973,98.36537974775324,35.05751971329657,391.2439775175137,479.9131460039244
2017,182.13504314318482,30.719208779710936,86.65737050582726,35.08826345265824,400.74148423215814,496.21915686951576
2018,181.91378789856435,31.24672988834783,85.20779041130919,35.81057868070157,409.0088449852839,505.71484247253903
2019,180.9699303699974,31.96495929971647,89.1640934629715,36.326238342947605,419.5286472758831,511.334484182909
2020,187.17144957429508,31.986193893776452,92.3689228660331,36.63261336720008,420.3204171669312,515.1229438751933
2021,181.17132857069194,32.70143628346391,87.62362286911555,37.07092017232075,432.10332385022093,525.6510295517974
