year,FF_mean,FF_std,Mic_mean,Mic_std,BB_mean,BB_std
1999,29.002248959389767,58.777259983898546,429.59355768235224,31.51843104070975,85.77221086778569,34.62233239221314
2000,38.19004964542093,58.08822484463432,426.74452006604974,31.105358346925904,83.17671631909884,34.35938630787329
2001,36.15862734700659,58.67413108747456,429.0796141991467,31.309595270413844,82.8241254557341,34.71722918394253
2002,40.120486298384904,59.003754165999425,427.5419736122454,31.350272350086943,79.51607868188292,34.87662695957662
2003,39.475728961957095,59.629671898012205,429.4645036325991,31.55068373118322,80.94671576021668,35.25289983387444
2004,45.11304164806895,59.4420442399171,428.49504982480545,31.379949914119546,80.33603326753816,35.263029000190194
2005,52.248974369056135,59.49736696551367,428.6085859712454,31.472800450653672,75.1953435612084,35.068373126594885
2006,49.56181701210242,60.963487239836724,434.0607717002125,32.381539788762765,77.89442175827648,35.69016166603889
2007,54.67354353837858,60.4504420883632,436.8451274653809,32.22505702886461,76.7307443778974,35.437126943353306
2008,67.80541466494444,59.67479949423379,433.9473695743746,31.933346816130936,71.00433352232947,34.897791117829
2009,77.69295398799879,59.796467752083394,432.2401989460043,31.909127759904663,64.82215312529178,34.78997170742083
2010,58.785071697576456,61.54012181880869,442.94962088705273,32.71465242525066,75.55875416346655,35.979896054449064
2011,70.2763436896246,61.215288713117886,439.77141250848945,32.45408112623322,71.45067947426945,35.792878548031844
2012,69.48465637592508,61.82311766808772,443.31111270722454,32.527367458485166,75.1400559309849,36.42014347111375
2013,68.33345846509951,62.77827789152497,448.8591686360924,32.763760912485836,76.6652534173981,37.242069174039266
2014,57.87108356929441,63.56295732919396,458.6604510057666,33.21741919662028,81.76877682272203,37.86097072483134
2015,66.03980504931667,63.74451806305543,460.63077018622135,33.311447180689264,76.72968224650727,37.92270042488456
2016,66.00161020612612,63.98504270710591,463.46929373667325,33.40747230262553,77.86362180887826,38.16044679136216
2017,50.65671688780525,65.33809022549794,478.37741358253476,34.10551402905602,82.57639690500305,39.1828375415431
2018,49.03160475148275,66.32536560049412,487.48211223793516,34.67159500950693,83.27691589443039,39.729657115440574
2019,55.06241696484991,67.30605105749298,494.1893701527559,35.06747983634828,80.67079052827465,40.44406904941003
2020,56.89369339194989,67.7398810902547,497.19576430173043,35.17942384137797,81.29490904754594,40.852137482122515
2021,51.904078818310296,69.29767405797627,508.2668539903697,35.84364331616284,81.71371961223291,41.89451649784717
