year,FF_mean,FF_std,Mic_mean,Mic_std,BB_mean,BB_std
1999,21.731312124535854,59.309914887079685,425.45779409548686,32.1381232561186,97.178911289505,34.816949240436536
2000,31.00845911606987,58.593124672767885,422.51446599453146,31.723422853187234,94.58836091996815,34.515619711020825
2001,28.814057643582732,59.16876864359617,424.9256738904485,31.933421645756447,94.32263546785613,34.862390959392
2002,32.59226620876615,59.53863462912151,423.4644053951111,32.00139892195464,91.12186698863594,35.026820291546954
2003,31.796929903698175,60.079773725874965,425.45110722507667,32.13961763488161,92.63891122599797,35.403682624609644
2004,37.43533426997122,60.030325561007636,424.4318753866667,32.059036389147856,92.07691508377451,35.435985162499385
2005,44.50979595281834,60.056991533627674,424.596453088568,32.11352551882625,86.94665486012362,35.23034105605567
2006,41.94716470966563,61.52816267808093,429.9728998793801,33.013566832722866,89.59694588154564,35.84870120762308
2007,47.004506351894634,61.075256695385505,432.744853969615,32.86156597492288,88.50005506014725,35.67361189728381
2008,60.18152248583078,60.42674765251848,429.8167981114233,32.71276677592246,82.75879716439447,35.087124392635694
2009,69.75958280180151,60.451886914826986,428.2972426081833,32.6511618814694,76.69848064931001,34.917806502610674
2010,50.742519485864285,62.228449773147986,439.0065104287405,33.474045393726755,87.54441683349086,36.169526723806236
2011,62.07477195674147,61.84764638597824,435.87015191084754,33.20671737225843,83.55351180479451,35.9570109843718
2012,61.26903027980964,62.39216390233713,439.3675755253852,33.313014330282876,87.29921920893975,36.47409900266609
2013,59.90298094381708,63.43445698275815,444.9099092570233,33.52952278838599,89.04499031774962,37.40757108391831
2014,49.711743479967005,64.0687368429601,454.4890194394001,33.903535822878055,94.09954847841601,37.97841911488463
2015,57.80888021911161,64.22130906863607,456.4481255231579,33.99157095025565,89.14325173977574,37.98761229999986
2016,57.81017596294776,64.40254726050796,459.1878081081571,34.071380223780636,90.33654168057272,38.18676914898344
2017,42.5231160162078,65.74125392962279,473.98472951071324,34.77807939578197,95.10268184842194,39.216654121181854
2018,40.96788582208462,66.52833215941338,483.0236924513406,35.25835212570503,95.79905461042298,39.65886136255468
2019,46.82869031370994,67.64425688383298,489.6958090728621,35.66780269226492,93.39807825930829,40.46915330020308
2020,48.63271898690135,68.0926130586564,492.65745141039116,35.81406742550282,94.09419634393383,40.87744961660119
2021,43.546613112056015,69.796384405714,503.7201486259522,36.49895159246983,94.61789068290467,42.01887097266389
