2005.66106	-78.10510723
2005.6834	-81.66510723
2005.72408	-87.30510723
2005.74099	-85.71510723
2005.77937	-84.02510723
2005.79856	-82.84510723
2005.81783	-83.70510723
2005.83947	-85.44510723
2005.85591	-85.96510723
2005.87505	-85.55510723
2005.89138	-85.89510723
2005.90794	-85.09510723
2005.95493	-86.28510723
2005.97156	-88.61510723
2005.9937	-82.08510723
2006.00995	-82.86510723
2006.02844	-82.08510723
2006.048	-82.14510723
2006.0645	-83.72510723
2006.08322	-85.14510723
2006.10517	-83.95510723
2006.12474	-80.83510723
2006.14671	-83.69510723
2006.1631	-84.20510723
2006.18232	-82.95510723
2006.19839	-84.78510723
2006.22066	-85.39510723
2006.24199	-84.91510723
2006.2585	-88.23510723
2006.27804	-86.41510723
2006.2971	-85.34510723
2006.31603	-85.50510723
2006.33498	-83.76510723
2006.35197	-83.15510723
2006.37076	-82.04510723
2006.41515	-84.78510723
2006.42863	-81.49510723
2006.45069	-82.01510723
2006.489	-80.95510723
2006.50832	-80.34510723
2006.54648	-78.78510723
2006.58486	-82.94510723
2006.60404	-80.39510723
2006.62358	-82.50510723
2006.64237	-80.55510723
2006.66162	-79.88510723
2006.68086	-77.51510723
2006.69997	-82.25510723
2006.71872	-84.38510723
2006.73838	-84.30510723
2006.75739	-84.41510723
2006.7958	-83.45510723
2006.81511	-81.86510723
2006.83442	-82.96510723
2006.85351	-86.29510723
2006.87298	-85.40510723
2006.89186	-85.07510723
2006.91104	-82.85510723
2006.93037	-87.01510723
2006.94944	-87.39510723
2006.96887	-82.56510723
2006.98804	-83.47510723
2007.02907	-83.55510723
2007.04553	-87.38510723
2007.06445	-83.07510723
2007.08409	-87.72510723
2007.1035	-85.00510723
2007.12218	-83.26510723
2007.14115	-84.38510723
2007.16033	-87.27510723
2007.17981	-86.05510723
2007.19875	-89.23510723
2007.21798	-84.32510723
2007.23696	-86.03510723
2007.2562	-85.45510723
2007.29454	-79.97510723
2007.31371	-83.14510723
2007.37353	-83.38510723
2007.40961	-83.14510723
2007.43132	-78.83510723
2007.44646	-80.27510723
2007.46971	-81.96510723
2007.52478	-82.54510723
2007.54386	-81.89510723
2007.56296	-82.95510723
2007.58214	-84.36510723
2007.6013	-83.69510723
2007.62065	-86.24510723
2007.65881	-89.17510723
2007.67798	-86.19510723
2007.6972	-88.59510723
2007.7354	-88.47510723
2007.75747	-90.57510723
2007.77386	-89.28510723
2007.79595	-92.91510723
2007.81225	-90.01510723
2007.85112	-87.96510723
2007.86724	-89.26510723
2007.91333	-88.12510723
2007.9466	-91.96510723
2007.96467	-90.89510723
2007.99004	-88.77510723
2008.00647	-89.53510723
2008.04239	-93.31510723
2008.06153	-87.46510723
2008.08076	-88.17510723
2008.11892	-87.01510723
2008.15736	-83.71510723
2008.19837	-86.74510723
2008.23366	-90.33510723
2008.25268	-86.08510723
2008.29098	-83.07510723
2008.31001	-80.90510723
2008.33157	-82.76510723
2008.3512	-84.48510723
2008.36601	-87.33510723
2008.39153	-84.60510723
2008.40553	-83.65510723
2008.42515	-79.76510723
2008.44386	-78.91510723
2008.46582	-78.78510723
2008.52046	-78.11510723
2008.53968	-77.05510723
2008.55872	-81.88510723
2008.57777	-79.77510723
2008.59693	-77.55510723
2008.61611	-81.16510723
2008.63526	-81.63510723
2008.65427	-81.70510723
2008.67348	-85.26510723
2008.71179	-82.69510723
2008.73371	-88.65510723
2008.7909	-88.53510723
2008.82683	-86.02510723
2008.84872	-87.43510723
2008.90322	-87.04510723
2008.92499	-84.95510723
2008.9416	-86.84510723
2008.96074	-86.25510723
