site,band,bb_signature_region,R_obs,R_wetland_only,R_wetland_plus_bb,delta_R_vs_wetland_only,A_src_wetland_13c,A_src_bb_13c,A_src_wetland_dD,A_src_bb_dD,bb_Q_mean_Tg_month,bb_amplitude_Tg_month,bb_peak_month
ALT,NH_high,NHext,0.085902,0.050336,0.04425569724421378,-0.006080302755786221,0.383014,0.04522823062919118,7.503944,0.386341458661921,0.05861416628562568,0.10560811625542829,6.14442576655406
ZEP,NH_high,NHext,0.056143,0.05595,0.04916079334046478,-0.006789206659535217,0.383014,0.04522823062919118,7.503944,0.386341458661921,0.05861416628562568,0.10560811625542829,6.14442576655406
BRW,NH_high,NHext,0.139266,0.056329,0.04972427046995889,-0.006604729530041105,0.383014,0.04522823062919118,7.759286,0.386341458661921,0.05861416628562568,0.10560811625542829,6.14442576655406
CBA,NH_mid,NHext,0.035525,0.048539,0.0424690331623129,-0.006069966837687096,0.73545,0.0750453274088856,11.982337,0.6410403602699767,0.16247690505812148,0.17523116759533516,5.1767181596004805
MHD,NH_mid,NHext,0.0902,0.062216,0.054480830241625006,-0.007735169758374995,0.73545,0.0750453274088856,11.907292,0.6410403602699767,0.16247690505812148,0.17523116759533516,5.1767181596004805
KUM,Tropics,Trop,0.060669,0.065052,0.07523467855807821,0.01018267855807821,0.196273,0.2175220584360784,2.870656,1.2156596014957886,1.1820475489448985,0.46988385281435313,7.9847320899263
CGO,SH_extra,SHext,0.028218,0.032576,0.03099834536425522,-0.001577654635744781,0.023639,0.0042421034137632785,0.345741,0.026341719556957303,0.03264631677636301,0.009897680632716066,1.670401343814682
SPO,SH_extra,SHext,0.023724,0.030982,0.029304609901202802,-0.001677390098797197,0.023639,0.0042421034137632785,0.345741,0.026341719556957303,0.03264631677636301,0.009897680632716066,1.670401343814682
