site,year,n_months,n_quarters,first_month,last_month,usable
SPO,2012,12,4,1,12,True
SPO,2013,12,4,1,12,True
SPO,2014,12,4,1,12,True
SPO,2015,12,4,1,12,True
SPO,2016,12,4,1,12,True
SPO,2017,12,4,1,12,True
SPO,2018,12,4,1,12,True
SPO,2019,12,4,1,12,True
SPO,2020,12,4,1,12,True
SPO,2021,12,4,1,12,True
SPO,2022,12,4,1,12,True
SUM,2010,9,3,4,12,True
SUM,2011,12,4,1,12,True
SUM,2012,12,4,1,12,True
SUM,2013,8,3,5,12,True
SUM,2014,12,4,1,12,True
SUM,2015,12,4,1,12,True
SUM,2016,12,4,1,12,True
SUM,2017,12,4,1,12,True
SUM,2018,12,4,1,12,True
SUM,2019,9,4,1,12,True
SUM,2020,12,4,1,12,True
SUM,2021,12,4,1,12,True
SUM,2022,12,4,1,12,True
TAP,2000,4,2,9,12,False
TAP,2001,5,2,1,5,False
TAP,2002,10,4,3,12,True
TAP,2003,12,4,1,12,True
TAP,2004,12,4,1,12,True
TAP,2005,8,3,1,8,True
TAP,2006,11,4,2,12,True
TAP,2007,12,4,1,12,True
TAP,2008,12,4,1,12,True
TAP,2009,12,4,1,12,True
TAP,2010,12,4,1,12,True
TAP,2011,12,4,1,12,True
TAP,2012,12,4,1,12,True
TAP,2013,12,4,1,12,True
TAP,2014,12,4,1,12,True
TAP,2015,12,4,1,12,True
TAP,2016,12,4,1,12,True
TAP,2017,12,4,1,12,True
TAP,2018,12,4,1,12,True
TAP,2019,12,4,1,12,True
TAP,2020,12,4,1,12,True
TAP,2021,12,4,1,12,True
TAP,2022,12,4,1,12,True
WLG,2001,6,2,7,12,False
WLG,2002,8,3,1,12,True
WLG,2003,12,4,1,12,True
WLG,2004,12,4,1,12,True
WLG,2005,9,4,1,12,True
WLG,2006,12,4,1,12,True
WLG,2007,6,2,1,12,False
WLG,2008,12,4,1,12,True
WLG,2009,12,4,1,12,True
WLG,2010,12,4,1,12,True
WLG,2011,12,4,1,12,True
WLG,2012,12,4,1,12,True
WLG,2013,12,4,1,12,True
WLG,2014,12,4,1,12,True
WLG,2015,12,4,1,12,True
WLG,2016,12,4,1,12,True
WLG,2017,12,4,1,12,True
WLG,2018,12,4,1,12,True
WLG,2019,9,3,4,12,True
WLG,2020,12,4,1,12,True
WLG,2021,12,4,1,12,True
WLG,2022,12,4,1,12,True
ZEP,2008,7,3,6,12,False
ZEP,2009,12,4,1,12,True
ZEP,2010,12,4,1,12,True
ZEP,2011,12,4,1,12,True
ZEP,2012,12,4,1,12,True
ZEP,2013,12,4,1,12,True
ZEP,2014,12,4,1,12,True
ZEP,2015,12,4,1,12,True
ZEP,2016,12,4,1,12,True
ZEP,2017,12,4,1,12,True
ZEP,2018,12,4,1,12,True
ZEP,2019,12,4,1,12,True
ZEP,2020,12,4,1,12,True
ZEP,2021,12,4,1,12,True
ZEP,2022,12,4,1,12,True
