period,metric,n_sites,median_slope_per_decade,q25_slope_per_decade,q75_slope_per_decade,n_positive,n_negative,n_p_lt_0_05
2002_2022,sca_detrended_range,12,0.030159993355574045,0.0012015490896411128,0.03716921108322866,9,3,0
2002_2022,sca_harmonic,12,0.034065648783315784,0.010414146420781792,0.04175214031697877,11,1,1
2002_2022,sca_raw_range,12,0.03494805194805217,0.007132281868157052,0.04015020505810125,9,3,0
2016_2022,sca_detrended_range,20,0.12578648174306867,0.03451417814153573,0.1560222076999619,17,3,0
2016_2022,sca_harmonic,20,0.12586787318565223,0.062320937586133364,0.20007389425966962,20,0,0
2016_2022,sca_raw_range,20,0.12857142857146642,0.05428571428573177,0.15830357142858803,18,2,0
2020_2022,sca_detrended_range,19,-0.1508314815102807,-0.48505891141360213,0.051399092075574956,6,13,1
2020_2022,sca_harmonic,19,-0.1643778896042722,-0.4651235258957825,0.017004851652548843,5,14,1
2020_2022,sca_raw_range,19,-0.15999999999991205,-0.4975000000000003,0.0325000000000339,6,13,2
