period,metric,n_sites,median_ols_slope_per_decade,median_sen_slope_per_decade,median_sen_minus_ols_per_decade,n_same_sign,n_ols_positive,n_sen_positive,n_sen_ci_excludes_zero
2002_2022,sca_detrended_range,12,0.030159993355574045,0.02159340268331756,-0.0033086417693043296,11,9,8,0
2002_2022,sca_harmonic,12,0.034065648783315784,0.02763296389649377,-0.0012119259572793382,12,11,11,0
2002_2022,sca_raw_range,12,0.03494805194805217,0.027281045751636056,-0.0028094544344597185,10,9,9,0
2016_2022,sca_detrended_range,20,0.12578648174306867,0.11538837141624297,-0.008996397396200579,19,17,18,0
2016_2022,sca_harmonic,20,0.12586787318565223,0.12806980422359468,-0.007850511808976779,15,20,15,0
2016_2022,sca_raw_range,20,0.12857142857146642,0.1208333333333359,-0.011666666666701346,18,18,18,0
2020_2022,sca_detrended_range,19,-0.1508314815102807,-0.15083148151035147,-7.077671781985373e-14,19,6,6,3
2020_2022,sca_harmonic,19,-0.1643778896042722,-0.16437788960433797,-6.578071420904053e-14,19,5,5,4
2020_2022,sca_raw_range,19,-0.15999999999991205,-0.15999999999998266,-7.183142969324763e-14,19,6,6,3
