site,period,metric,new_slope_per_year,new_slope_per_decade,new_p_value,new_r2,legacy_slope_per_year,legacy_slope_per_decade,legacy_p_value,legacy_r2,legacy_method,slope_delta_new_minus_legacy,slope_delta_decade_new_minus_legacy
ALT,2002_2022,sca_harmonic,0.0008166451636268082,0.008166451636268082,0.8048510202090113,0.003480793842160046,0.005421937,0.05421937,0.13239817,0.104514456,legacy_ssa_reconstruction_range,-0.004605291836373192,-0.04605291836373192
ASC,2002_2022,sca_harmonic,0.0011163378015619696,0.011163378015619696,0.6681780067636104,0.009878970282545585,0.003709486,0.03709486,0.114801186,0.114182185,legacy_ssa_reconstruction_range,-0.0025931481984380307,-0.025931481984380306
BRW,2002_2022,sca_harmonic,0.0039913222641629045,0.03991322264162905,0.3552189880235016,0.04512967704747073,0.001985385,0.01985385,0.572774985,0.014032818,legacy_ssa_reconstruction_range,0.0020059372641629044,0.020059372641629047
CGO,2002_2022,sca_harmonic,0.003016106929090371,0.030161069290903713,0.3818512196144917,0.04047608828909455,0.001860769,0.01860769,0.504949878,0.01955699,legacy_ssa_reconstruction_range,0.0011553379290903712,0.011553379290903713
KUM,2002_2022,sca_harmonic,0.003284295812763426,0.03284295812763426,0.16358534012357476,0.09953442967458892,0.005852609,0.05852609,0.020213279,0.221717477,legacy_ssa_reconstruction_range,-0.002568313187236574,-0.02568313187236574
MHD,2002_2022,sca_harmonic,0.006716688664082767,0.06716688664082768,0.04241516300283419,0.20952340472237718,0.010984348,0.10984348,0.000679763,0.415045103,legacy_ssa_reconstruction_range,-0.0042676593359172324,-0.042676593359172316
MLO,2002_2022,sca_harmonic,0.004726889334302794,0.047268893343027946,0.06925913358930787,0.1632823046397487,0.004994615,0.04994615,0.042903897,0.166465165,legacy_ssa_reconstruction_range,-0.0002677256656972056,-0.002677256656972056
NWR,2002_2022,sca_harmonic,0.003528833943899731,0.035288339438997306,0.25023948928377565,0.06892934951389385,0.001892308,0.018923080000000002,0.403187618,0.030571234,legacy_ssa_reconstruction_range,0.0016365259438997307,0.016365259438997304
SMO,2002_2022,sca_harmonic,-0.00045631269679151197,-0.004563126967915119,0.8685995042480897,0.0014778018968117923,0.000651538,0.00651538,0.752970843,0.004391497,legacy_ssa_reconstruction_range,-0.001107850696791512,-0.01107850696791512
SPO,2002_2022,sca_harmonic,0.0036676894668449017,0.03667689466844902,0.22645759967487064,0.08015293417360414,0.005279231,0.052792309999999995,0.051439503,0.155088956,legacy_ssa_reconstruction_range,-0.001611541533155098,-0.016115415331550975
TAP,2002_2022,sca_harmonic,0.005356765369798968,0.05356765369798968,0.35248587668705184,0.04563313622011134,0.007935771,0.07935771,0.156070641,0.093434844,legacy_ssa_reconstruction_range,-0.0025790056302010316,-0.025790056302010318
WLG,2002_2022,sca_harmonic,0.00043336015147779936,0.004333601514777994,0.9139749873588224,0.0006663417604393373,0.002234896,0.02234896,0.492201151,0.023891094,legacy_ssa_reconstruction_range,-0.0018015358485222008,-0.018015358485222007
