period,site,year,n_months,n_quarters,first_month,last_month,usable,sca_raw_range,sca_detrended_range,sca_harmonic
2016_2022,ALT,2016,12,4,1,12,True,0.4230000000000018,0.414450877374847,0.350817908663075
2016_2022,ALT,2017,12,4,1,12,True,0.3509999999999991,0.34245087737484425,0.2705231568362791
2016_2022,ALT,2018,12,4,1,12,True,0.3620000000000019,0.35345087737485414,0.28417973163677956
2016_2022,ALT,2019,12,4,1,12,True,0.5019999999999953,0.4934508773748476,0.43600339844209246
2016_2022,ALT,2020,12,4,1,12,True,0.5429999999999993,0.5344508773748444,0.49186531710329645
2016_2022,ALT,2021,12,4,1,12,True,0.3689999999999998,0.36045087737484494,0.29070845173146587
2016_2022,ALT,2022,12,4,1,12,True,0.5309999999999988,0.522450877374844,0.5003005913819922
2016_2022,AMY,2016,12,4,1,12,True,0.3960000000000008,0.3731910295616814,0.32038340772886775
2016_2022,AMY,2017,12,4,1,12,True,0.5559999999999974,0.5321910295616519,0.4436111009453059
2016_2022,AMY,2018,12,4,1,12,True,0.3369999999999962,0.3084887869520756,0.2672596699816344
2016_2022,AMY,2019,12,4,1,12,True,0.5500000000000043,0.5157865443425393,0.5040312403128359
2016_2022,AMY,2020,12,4,1,12,True,0.34499999999999886,0.29938205912336,0.27451363047936417
2016_2022,AMY,2021,12,4,1,12,True,0.5470000000000041,0.5241910295616847,0.4093806179406888
2016_2022,AMY,2022,12,4,1,12,True,0.5900000000000034,0.567191029561684,0.5002892050712895
2016_2022,ASC,2016,12,4,1,12,True,0.054999999999999716,0.06847645276105396,0.05630239423683196
2016_2022,ASC,2017,12,4,1,12,True,0.14500000000000313,0.12478532085842176,0.09126871441585842
2016_2022,ASC,2018,12,4,1,12,True,0.2779999999999987,0.2690156981592935,0.11371093250363544
2016_2022,ASC,2019,12,4,1,12,True,0.3100000000000023,0.298769622699119,0.2793386702979342
2016_2022,ASC,2020,12,4,1,12,True,0.2150000000000034,0.20376962269912013,0.17169187349874196
2016_2022,ASC,2021,12,4,1,12,True,0.12100000000000222,0.10078532085842085,0.062423165997146
2016_2022,ASC,2022,12,4,1,12,True,0.14500000000000313,0.12253924539824368,0.09290063330920381
2016_2022,BHD,2016,9,3,1,9,True,0.1010000000000062,0.08403819493052112,0.08077759064548096
2016_2022,BHD,2017,12,4,1,12,True,0.142000000000003,0.11938425990735624,0.10779345250072334
2016_2022,BHD,2018,12,4,1,12,True,0.18899999999999295,0.17369212995365757,0.13321914324986764
2016_2022,BHD,2020,12,4,1,12,True,0.14399999999999835,0.11938425990734913,0.08966468382257424
2016_2022,BHD,2022,10,4,3,12,True,0.29999999999999716,0.28869212995367377,0.2884148341764087
2016_2022,BRW,2016,12,4,1,12,True,0.554000000000002,0.5446414718535166,0.4950095387733328
2016_2022,BRW,2017,12,4,1,12,True,0.5140000000000029,0.506513177482816,0.4001071589161408
2016_2022,BRW,2018,12,4,1,12,True,0.4520000000000053,0.4445131774828184,0.38746886102000955
2016_2022,BRW,2019,12,4,1,12,True,0.6209999999999951,0.6135131774828153,0.5584448465293134
2016_2022,BRW,2020,12,4,1,12,True,0.644999999999996,0.6375131774828091,0.5535224340771961
2016_2022,BRW,2021,12,4,1,12,True,0.3400000000000034,0.3325131774828165,0.27926377742384334
2016_2022,BRW,2022,12,4,1,12,True,0.5820000000000007,0.5726414718535153,0.5240659047895541
2016_2022,CBA,2016,12,4,1,12,True,0.4089999999999989,0.3974870427738679,0.34045382844136013
2016_2022,CBA,2017,12,4,1,12,True,0.5040000000000049,0.4924870427738881,0.3644762097529936
2016_2022,CBA,2018,12,4,1,12,True,0.45700000000000074,0.44548704277386975,0.38634085605032675
2016_2022,CBA,2019,12,4,1,12,True,0.6610000000000014,0.6494870427738846,0.5794068064281704
2016_2022,CBA,2020,12,4,1,12,True,0.5929999999999964,0.5814870427738796,0.4938530201963697
2016_2022,CBA,2021,12,4,1,12,True,0.48499999999999943,0.47348704277388265,0.40828094160965994
2016_2022,CBA,2022,12,4,1,12,True,0.3500000000000014,0.3364870427739035,0.3407366124426454
2016_2022,CGO,2016,12,4,1,12,True,0.08100000000000307,0.07160159414109302,0.06730518820016222
2016_2022,CGO,2017,12,4,1,12,True,0.16499999999999915,0.15272191296931226,0.16173578351497575
2016_2022,CGO,2018,12,4,1,12,True,0.13799999999999812,0.11820318828218745,0.09114853558643386
2016_2022,CGO,2019,12,4,1,12,True,0.42200000000000415,0.43327808703068627,0.3845414190761528
2016_2022,CGO,2020,12,4,1,12,True,0.26300000000000523,0.24796255062575767,0.23168322273016523
2016_2022,CGO,2021,12,4,1,12,True,0.19899999999999807,0.1839625506257505,0.17499737377924438
2016_2022,CGO,2022,12,4,1,12,True,0.14800000000000324,0.13572191296931635,0.14867306200418415
2016_2022,GMI,2018,12,4,1,12,True,0.18599999999999994,0.215039298312675,0.14038144474034697
2016_2022,GMI,2019,12,4,1,12,True,0.42199999999999704,0.39368060144626327,0.3761909776462698
2016_2022,GMI,2020,12,4,1,12,True,0.3429999999999964,0.31468060144626264,0.3372441438150997
2016_2022,GMI,2021,9,3,1,9,True,0.10499999999999687,0.09556020048210456,0.09193122175923195
2016_2022,GMI,2022,12,4,1,12,True,0.39799999999999613,0.37440050120522983,0.29053871336761866
2016_2022,KUM,2016,12,4,1,12,True,0.24499999999999744,0.23536308914481907,0.20681426687236212
2016_2022,KUM,2017,12,4,1,12,True,0.2749999999999986,0.2653630891448131,0.23804812850859997
2016_2022,KUM,2018,12,4,1,12,True,0.20700000000000074,0.1992904713158552,0.16407541302212506
2016_2022,KUM,2019,12,4,1,12,True,0.48499999999999943,0.4772904713158539,0.42997924935867116
2016_2022,KUM,2020,12,4,1,12,True,0.3019999999999996,0.2904357069737884,0.28680335436088866
2016_2022,KUM,2021,12,4,1,12,True,0.2629999999999981,0.25336308914481265,0.2282454080638494
2016_2022,KUM,2022,12,4,1,12,True,0.35899999999999466,0.3493630891448092,0.3097011489597763
2016_2022,MEX,2016,12,4,1,12,True,0.20199999999999818,0.185914634545,0.1653804358805871
2016_2022,MEX,2017,12,4,1,12,True,0.20000000000000284,0.18513170763599618,0.18045401451930404
2016_2022,MEX,2018,12,4,1,12,True,0.13100000000000023,0.1243024385459961,0.10205910827964226
2016_2022,MEX,2019,12,4,1,12,True,0.382000000000005,0.36591463454502104,0.3390748762247636
2016_2022,MEX,2020,9,4,1,12,True,0.34899999999999665,0.3329146345449985,0.20330002514502474
2016_2022,MEX,2021,12,4,1,12,True,0.21299999999999386,0.1904804883630078,0.16508578132176796
2016_2022,MEX,2022,12,4,1,12,True,0.26500000000000057,0.2511317076359987,0.22246682292335362
2016_2022,MHD,2016,12,4,1,12,True,0.2749999999999986,0.2638944808920556,0.23694514644859999
2016_2022,MHD,2017,12,4,1,12,True,0.32500000000000284,0.3148944808920575,0.2533527465997341
2016_2022,MHD,2018,12,4,1,12,True,0.24200000000000443,0.2344208606690401,0.15725017243041886
2016_2022,MHD,2019,12,4,1,12,True,0.46300000000000097,0.44784172133808653,0.4354531313958992
2016_2022,MHD,2020,12,4,1,12,True,0.4309999999999974,0.42089448089204495,0.39676326449045274
2016_2022,MHD,2021,12,4,1,12,True,0.2560000000000002,0.2458944808920549,0.2222340287950902
2016_2022,MHD,2022,12,4,1,12,True,0.40499999999999403,0.3923681011150606,0.36455674081372125
2016_2022,MID,2016,12,4,1,12,True,0.3570000000000064,0.3370619894469584,0.31646578321117297
2016_2022,MID,2017,12,4,1,12,True,0.3810000000000002,0.361061989446938,0.2929380737328888
2016_2022,MID,2018,12,4,1,12,True,0.2119999999999962,0.19704649208519953,0.15204257215988806
2016_2022,MID,2019,12,4,1,12,True,0.5499999999999972,0.530061989446935,0.42951525513334265
2016_2022,MID,2020,12,4,1,12,True,0.3919999999999959,0.3720619894469337,0.34237188034496896
2016_2022,MID,2021,12,4,1,12,True,0.30100000000000193,0.27607748680867417,0.23930289982028857
2016_2022,MID,2022,12,4,1,12,True,0.39400000000000546,0.37406198944695745,0.3094963024241013
2016_2022,MLO,2016,12,4,1,12,True,0.22800000000000153,0.21966518520828515,0.1936104474018756
2016_2022,MLO,2017,12,4,1,12,True,0.25800000000000267,0.25066518520829106,0.2051078627234958
2016_2022,MLO,2018,12,4,1,12,True,0.13799999999999812,0.12699777781242716,0.1213205790879241
2016_2022,MLO,2019,12,4,1,12,True,0.45599999999999596,0.4468314815103511,0.39459292091580417
