Year,BB_Global_smooth_mean,BB_Global_smooth_std,FF_Global_smooth_mean,FF_Global_smooth_std,Mic_Global_smooth_mean,Mic_Global_smooth_std,BB_NH_smooth_mean,FF_NH_smooth_mean,Mic_NH_smooth_mean,BB_SH_smooth_mean,FF_SH_smooth_mean,Mic_SH_smooth_mean
1999,81.31988220838565,13.272940429109129,57.96999050749419,10.063632382200142,407.0638967854086,19.420824693786503,81.12187516792558,0.5065826590107213,327.00666032804116,0.19800704046005946,57.46340784848346,80.05723645736741
2000,82.87647512820884,13.541839733489923,58.132957853657736,10.503559682905289,409.0928778021971,19.56912052865305,82.71927970447778,0.9250960221212436,327.53595981057407,0.15719542373104997,57.2078618315365,81.5569179916231
2001,82.80048379033867,13.53858067262403,55.44687435414763,10.639612944762577,411.81201364802394,19.728026075860747,82.65874637027213,0.8770975676809166,328.3010415981986,0.14173742006654055,54.56977678646671,83.5109720498253
2002,83.1591664827534,13.647316696406484,51.363960521337546,10.766613208020475,414.6635777874552,19.843197039909303,82.97190597109734,0.8600508055614416,328.9166475900465,0.1872605116560706,50.503909715776096,85.74693019740877
2003,84.39219146383871,13.92032127921763,51.11250239434536,10.600784793046367,416.401019629188,19.645607122048293,83.92824935676002,0.9934882456539349,330.52879869479847,0.4639421070786962,50.119014148691434,85.8722209343895
2004,85.69927197949426,14.274011424424867,52.63467410711014,10.993017576367489,417.6400318346104,19.590326948182756,85.18214673669311,1.5899124547249621,332.05992805168455,0.517125242801145,51.044761652385176,85.58010378292587
2005,84.52587184626728,14.483248894655716,51.11773437397908,11.64371022410435,422.45105778028386,19.663956197007522,84.011595492648,2.7441360691197434,334.49210615011174,0.5142763536192838,48.37359830485935,87.95895163017205
2006,87.30564636715327,15.228537493849831,48.31971771729319,11.341320964819566,427.94551225177753,19.251188312126203,85.24091955762673,2.6564411655789826,337.446079069571,2.06472680952655,45.66327655171421,90.49943318220656
2007,87.93429454761174,15.78747405226117,49.73495211673739,12.83884838385755,432.6472466871065,19.55097468270301,85.93750085663103,4.027856732020753,340.1194500003455,1.9967936909807014,45.70709538471664,92.527796686761
2008,88.07167090890552,16.08148663688284,50.13470244152276,14.317898380172803,436.6323748499958,20.013554305489006,86.37770287410521,4.992411675853488,342.35778340023535,1.6939680348003108,45.14229076566929,94.2745914497605
2009,86.58060153617186,16.500099476898615,49.815090710500186,15.701432774086452,440.45638111202254,20.16707219878307,84.95022542396686,6.41547295559156,344.75666900295136,1.6303761122050255,43.39961775490863,95.69971210907114
2010,89.28602166302437,16.565353763944458,48.43110472159034,14.28222035025813,441.688056246602,19.733687905813035,87.02720168378238,5.074269316003057,346.68357510312245,2.25881997924198,43.35683540558728,95.00448114347947
2011,88.45361988230992,16.591398852195425,52.942671479658244,16.074325663287574,442.2288522425557,20.45176201061993,87.71410846134563,6.263697377914166,348.3033794874401,0.739511420964305,46.678974101744075,93.92547275511565
2012,90.81496731974468,16.73066661242032,55.09553177040866,15.898234525565918,444.16748158097545,20.436355885076193,89.99945654851663,5.9830968212838425,350.915965985674,0.8155107712280355,49.11243494912481,93.2515155953014
2013,91.72512630455542,17.037637931080212,55.56363941833163,16.063821880275636,448.72777181352654,20.583540086077377,90.86867510295916,6.1362997626371065,354.2642747777457,0.8564512015962882,49.42733965569453,94.4634970357808
2014,92.60512130069779,17.085372192252276,54.46832564255411,15.82793628085283,453.40281875010925,20.738089133576125,91.63304835145782,5.6477042275949785,357.6277721672395,0.9720729492399685,48.820621414959135,95.7750465828697
2015,91.44698737375452,17.243765133618744,54.39883130775302,16.968087006895946,459.7479869455765,21.345599083728427,90.99049186602761,6.326557566407793,361.56262202226696,0.45649550772693315,48.07227374134523,98.1853649233095
2016,92.19607375429847,17.52934299019868,55.39361672489613,17.40145069729336,461.95643155536635,21.48340349761401,91.71254635577377,6.754561828907106,363.8056410991439,0.4835273985246922,48.63905489598903,98.15079045622242
2017,91.8765756769973,17.744179511977336,50.75544270158063,16.518333639171473,471.20823743944476,21.44553310857392,90.7462196298157,5.949590951059616,369.1417654395727,1.1303560471816068,44.80585175052102,102.06647199987209
2018,91.53257122799661,18.0623483672705,51.4501293620746,16.954710358688246,479.0559723157266,21.683177237020573,90.29107446186923,6.189736860457415,374.8755272816445,1.2414967661273928,45.26039250161718,104.18044503408204
2019,91.25327115298697,18.576331670971573,52.89794697905003,18.022174749007345,488.038980582185,22.285710402938818,90.11909735910199,7.820759078127035,379.92449378181215,1.134173793884977,45.077187900922986,108.1144868003728
2020,91.7126678859613,19.034870124025595,55.17999382182793,18.79141782058629,490.7689339199403,22.442920431781815,90.44116270741864,8.615948177771726,382.25723509568974,1.2715051785426434,46.5640456440562,108.51169882425057
2021,90.29061916713655,19.32292640710639,54.1585857795263,18.894771772069582,499.7229010874146,22.636861400796057,88.71887037826143,8.710000618939663,387.86119657693115,1.5717487888751065,45.448585160586646,111.86170451048339
