year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,4,-47.0367,0.0764,4,-66.4550,,1,2005.2917
2005,5,-47.1077,0.1298,4,-70.0265,0.4985,2,2005.3750
2005,7,-47.0435,0.0728,2,-71.1990,,1,2005.5417
2005,12,-46.8025,0.0007,2,-67.8785,2.1941,4,2005.9583
2006,1,-46.8787,0.0594,4,-69.2760,1.8116,2,2006.0417
2006,2,-46.8858,0.0451,5,-66.6130,1.2258,3,2006.1250
2006,3,-46.9547,0.0704,6,-67.2997,1.6939,3,2006.2083
2006,4,-46.9918,0.0254,6,-66.6565,0.9214,2,2006.2917
2006,5,-46.9590,0.0127,2,-66.5955,0.7828,2,2006.3750
2006,6,-46.8730,0.0212,2,-71.3930,,1,2006.4583
2006,7,-47.0360,0.0275,4,-70.0370,0.1245,2,2006.5417
2006,8,-46.9230,0.0170,2,-69.9840,1.3452,4,2006.6250
2006,9,-47.0294,0.0551,8,-73.3277,1.5280,3,2006.7083
2006,11,-46.9535,0.0756,6,-71.5020,0.6350,2,2006.8750
2007,3,-47.0475,0.0438,4,-66.9800,,1,2007.2083
2007,5,-46.9610,0.0665,2,-77.3810,,1,2007.3750
2007,6,-46.9305,0.0581,4,-71.1410,1.2756,2,2007.4583
2007,8,-47.0420,0.0226,2,-71.7340,,1,2007.6250
2007,9,-47.0125,0.0290,6,-71.7450,,1,2007.7083
2007,12,-46.9616,0.0502,5,-70.0590,,1,2007.9583
2008,1,-46.8867,0.0453,6,-67.4410,2.2818,3,2008.0417
2008,2,-46.9002,0.1435,6,-66.3400,1.6725,4,2008.1250
2008,3,-46.6825,0.0078,2,-67.8250,,1,2008.2083
2008,6,-47.0695,0.0120,2,-78.3090,,1,2008.4583
2008,7,-47.0125,0.0375,2,-70.3470,2.5723,4,2008.5417
2008,9,-47.2500,,1,-73.0630,,1,2008.7083
2008,10,-46.9905,0.0239,4,-68.5385,1.9042,2,2008.7917
2008,12,-47.0257,0.0541,6,-67.5550,1.2261,2,2008.9583
2009,5,-46.8950,0.1830,6,-68.7960,,1,2009.3750
