year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,4,-46.9866,0.0739,10,-69.3763,3.4603,3,2005.2917
2005,5,-47.0088,0.0511,6,-68.9970,2.0930,2,2005.3750
2005,6,-47.0163,0.0815,15,-71.3190,,1,2005.4583
2005,7,-47.1164,0.0772,11,-69.2330,0.4498,3,2005.5417
2005,8,-47.1440,0.0497,12,-70.1830,,1,2005.6250
2005,9,-47.0452,0.0857,6,-68.8717,0.8945,3,2005.7083
2006,2,-46.9933,0.0942,8,-69.0918,0.8315,4,2006.1250
2006,4,-46.9837,0.0581,6,-68.7740,,1,2006.2917
2006,5,-47.0598,0.1518,14,-68.4790,2.2620,3,2006.3750
2006,6,-47.0573,0.1088,7,-69.5950,2.2147,2,2006.4583
2006,7,-46.9900,0.0909,8,-71.5513,0.7450,3,2006.5417
2006,8,-46.9472,0.0581,14,-70.5498,1.3012,4,2006.6250
2006,9,-47.0088,0.0267,5,-73.1805,3.1233,2,2006.7083
2006,10,-46.9499,0.0898,10,-69.5955,0.8173,4,2006.7917
2006,11,-47.0077,0.1006,10,-69.3583,1.4222,3,2006.8750
2007,9,-46.9990,0.0976,2,-69.1860,,1,2007.7083
2008,1,-47.1376,0.0883,8,-68.9180,,1,2008.0417
2008,2,-47.0840,0.1781,8,-67.4550,,1,2008.1250
2008,3,-46.9493,0.0669,6,-70.0477,1.5159,3,2008.2083
2008,4,-46.9782,0.0548,4,-69.0804,0.9655,5,2008.2917
2008,5,-46.8432,0.0487,8,-70.0486,1.9776,8,2008.3750
2008,6,-46.8245,0.0191,2,-69.6060,1.3268,3,2008.4583
2008,7,-46.9515,0.1017,6,-69.8646,0.8255,5,2008.5417
2008,8,-46.8582,0.0548,6,-70.0778,0.3565,5,2008.6250
2008,9,-46.8997,0.0621,4,-70.9657,2.1864,4,2008.7083
2008,10,-47.0129,0.1289,14,-68.6470,1.5233,5,2008.7917
2008,11,-47.0850,0.0325,2,-68.7255,1.2936,6,2008.8750
2008,12,-46.9801,0.1086,10,-69.0250,3.2122,4,2008.9583
2009,1,-47.0718,0.0780,6,-68.7263,0.8904,3,2009.0417
2009,2,-47.1038,0.1232,10,-69.1243,2.3642,3,2009.1250
2009,3,-47.0870,0.0343,4,-70.4660,3.5582,2,2009.2083
2009,4,-47.0428,0.0788,6,-69.2190,,1,2009.2917
2009,5,-47.0656,0.0860,10,-72.2030,,1,2009.3750
2009,6,-47.0548,0.1062,16,-69.3430,0.2942,2,2009.4583
2009,7,-47.0499,0.0613,16,-69.1900,,1,2009.5417
2009,9,-47.0836,0.0674,10,-72.2900,,1,2009.7083
