Year,FF_G_d13C_mean,FF_G_d13C_std,Mic_G_d13C_mean,Mic_G_d13C_std,FF_G_dD_mean,FF_G_dD_std,Mic_G_dD_mean,Mic_G_dD_std,FF_NHext_d13C_mean,Mic_NHext_d13C_mean,FF_NHext_dD_mean,Mic_NHext_dD_mean,FF_Trop_d13C_mean,Mic_Trop_d13C_mean,FF_Trop_dD_mean,Mic_Trop_dD_mean,FF_SHext_d13C_mean,Mic_SHext_d13C_mean,FF_SHext_dD_mean,Mic_SHext_dD_mean,BB_fixed
1999,66.74628208424487,11.141580653598187,425.63866425572274,9.472792545035755,96.82106844883164,22.31727678516314,395.563877891136,21.112667753003727,30.30951521125217,108.78092988202282,0.0,139.09044509327498,0.0,316.8577343736999,60.38430157583894,256.47343279786094,36.43676687299269,0.0,36.43676687299269,0.0,48.51
2000,70.9541358927273,11.083505153450423,428.2061432410233,9.395261553178873,102.5631763788526,22.34375278828061,396.5971027548979,21.143243827041907,33.140595711426606,107.78634617137766,0.00032084141483961116,140.9266210413894,0.0,320.4197970696456,64.74931535613707,255.6704817135085,37.81354018130069,0.0,37.81354018130069,0.0,32.06
2001,71.78928418285112,11.06228310954644,429.104472804063,9.374616875697473,102.81466906856457,22.398516103781077,398.07908791834956,21.201970471676884,33.740675434315214,107.69440829238255,0.00025667313187168893,141.43482705356587,0.0,321.4100645116804,64.7658036468968,256.6442608647836,38.048608748535905,0.0,38.048608748535905,0.0,25.95
2002,73.63684572246747,11.02918730630208,430.02586699490234,9.326630781395568,102.5828349166642,22.558021682323144,401.0798778007056,21.366790643930447,35.29429560348249,106.99316831725525,0.00025667313187168893,142.2872072476059,0.0,323.03269867764703,64.24002812454734,258.7926705530997,38.34255011898499,0.0,38.34255011898499,0.0,23.44
2003,75.51005758346896,10.995745565970827,431.72192849956707,9.285976274206762,107.72027382001671,22.630123111623927,399.51171226301943,21.448871601595805,36.38904553242204,106.81588481716405,0.00423321275254295,143.2006971368335,0.0,324.90604368240304,68.59502855621723,256.31101512618585,39.121012051046925,0.0,39.121012051046925,0.0,23.69
2004,76.84032694719556,10.986666573967772,434.0023221242507,9.278236851020687,107.46913175064648,22.538438611883468,403.3735173207997,21.3904701019623,36.80386921894773,107.25995172535198,0.005845495773416877,144.05797544852632,0.0,326.7423703988987,67.42682852662526,259.31554187227346,40.03645772824784,0.0,40.03645772824784,0.0,30.43
2005,75.66992573111993,11.07280640095256,436.34291723560847,9.38189091603268,109.58621342189059,22.335486937821205,402.4266295448378,21.28160687248596,35.28596491133548,108.99591436817582,0.005588822641545187,144.27629045686976,0.0,327.34700286743265,69.19666377946459,258.15033908796806,40.38396081978445,0.0,40.38396081978445,0.0,27.91
2006,76.2266937933207,11.138997379442888,439.47337957558807,9.453585342940858,118.5695770944254,22.30187635764298,397.1304962744834,21.29518185135326,34.783658872960636,110.30232362431138,0.014177076052125514,145.07180542121986,0.0,329.17105595127674,77.11236509801323,252.05869085326344,41.44303492036007,0.0,41.44303492036007,0.0,28.36
2007,79.4146872900619,11.172989383035441,443.77972241615146,9.496705585910254,117.60497662214352,22.03559202048996,405.5894330840698,21.092243122901415,36.22426868871842,110.73619495667891,0.016154730933789812,146.94430891446356,0.0,333.04352745947256,74.39840328986627,258.64512416960633,43.190418601343474,0.0,43.190418601343474,0.0,28.35
2008,81.03199557913078,11.206323938429607,447.3532006822482,9.533658595671005,118.12943257820575,21.933511611274604,410.25576368317326,21.05180341341436,36.6738619527496,111.57109981792978,0.014694049332337748,148.23026772134705,0.0,335.7821008643184,73.75660490249224,262.0254959618262,44.35813362638118,0.0,44.35813362638118,0.0,32.8
