config,NH_FF_slope,NH_FF_pct_pos,NH_FF_p5,NH_FF_p95,SH_Mic_slope,SH_Mic_pct_pos,Global_FF_slope,Global_FF_pct_neg,pattern_holds
default,0.9795955234109661,75.0,-1.0423281269728562,3.1131897417462953,0.5236156456204895,71.5,2.1156107393924284,9.0,True
fixed_tau9,0.9496286736809529,74.5,-1.0752998190572036,3.1116061744663344,0.28722820481221223,60.25,1.8586239094848724,13.750000000000002,True
cantrell,0.784788308934582,71.5,-1.1879716051955178,2.9081797332118584,0.8276112591687551,85.25,1.494544007542515,16.0,True
saueressig,1.2584771445667675,81.25,-0.9908815643429543,3.5233123638159336,0.17984259573129135,56.49999999999999,2.6167172945596326,3.5000000000000004,False
low_Cl_0.6pct,1.48532513985433,84.0,-0.8362637045155544,3.8162812333667424,-0.05930060034344771,47.5,3.0431922498106365,1.7500000000000002,False
high_Cl_6.5pct,0.6118502296220814,68.75,-1.22732644514376,2.534485156350221,1.3115571860122264,100.0,0.7641570347660123,28.499999999999996,True
fast_ex_0.8,1.4601826075021476,82.25,-0.9458801741800217,3.816666171916127,0.557036144180922,79.75,2.083380825357075,9.75,True
slow_ex_1.3,0.5006024890757568,68.0,-1.2606390726439292,2.545067818479069,0.5193487065715177,68.0,1.690376502499188,13.25,True
