tau_ex,NH_FF_slope,NH_FF_p5,NH_FF_p95,NH_FF_pct_pos,SH_Mic_slope,SH_Mic_pct_pos,Global_FF_slope,sigma_FF_NH,sigma_FF_SH
0.7,1.7431916876226414,-0.7996689770157546,4.3182601137311325,85.0,0.513629706458961,85.5,2.1628493487248184,25.564016070599532,8.268425146767646
0.8,1.4601826075021476,-0.9458801741800217,3.816666171916127,82.25,0.557036144180922,79.75,2.083380825357075,25.215039810525994,8.845989668918536
0.9,1.191433581478292,-1.0888788268057041,3.458598630451215,78.75,0.5333703929717226,72.5,2.096732492940463,25.025859816545402,9.086322195998372
1.0,1.0124934645543724,-1.1114229437815424,3.1445249404176634,76.0,0.5401766122996337,70.25,2.0268420702672127,24.897751232000076,10.148402367380072
1.1,0.8193939999767343,-1.1743230430604075,2.9955975959871446,73.5,0.5028092447169664,69.75,1.9171176937688896,24.79773471348566,11.944395541643617
1.2,0.6552654589178453,-1.2137679898843816,2.7437874865742056,71.25,0.48326226055668686,68.5,1.810180352968295,24.69864050601636,13.94164909363585
1.5,0.3037676068160328,-1.1906933250199059,2.22903559665465,61.0,0.621044614032991,70.5,1.5666964768277785,24.4254900703594,19.101452747533813
2.0,0.1508950505910408,-1.1966323865488215,1.6287515443517047,56.49999999999999,0.8102642625205607,81.0,1.2303151319937666,24.124150095096212,23.266442096475146
