label,slope_median,slope_mean,slope_p5,slope_p95,slope_std,p_positive,p_negative,significant_pos,significant_neg,n_valid
2box_hemi_NH_FF,1.036339354169057,0.999535594558502,-1.097137993559857,3.138586943759791,1.3051344355472816,75.2,24.8,False,False,1000
2box_hemi_SH_FF,0.8235424844680725,0.9658722318339896,-0.5992611405715699,2.819316417781369,1.0557672363108561,82.69999999999999,17.299999999999997,False,False,1000
2box_hemi_Global_FF,2.1027080177854653,1.965407826392492,-0.4888056626709484,4.223448863581907,1.4423561665951425,89.2,10.8,False,False,1000
2box_hemi_NH_Mic,3.613319356299244,3.6207150743571317,2.3248835871268625,4.879605506817149,0.773483067848012,100.0,0.0,True,False,1000
2box_hemi_SH_Mic,0.5161163043883354,0.409338350661518,-1.202394843957568,1.7589289751494057,0.9356857922067537,69.69999999999999,30.3,False,False,1000
2box_hemi_Global_Mic,3.9893797599026968,4.030053425018649,2.271106341743323,5.894869139096838,1.131249604631271,100.0,0.0,True,False,1000
2box_hemi_NH_BB,-0.4136003657604858,-0.41948069990689624,-1.502256135359472,0.6019281685745723,0.6517547387281082,29.299999999999997,70.7,False,False,1000
2box_hemi_SH_BB,-3.4527340272548856e-16,0.009309874232815697,-0.31578920105401603,0.3614339049604815,0.20353629798901668,47.9,52.1,False,False,1000
2box_hemi_Global_BB,-0.42514780307075095,-0.4101708256740806,-1.3731022247232458,0.594123294518233,0.6021699568251513,26.3,73.7,False,False,1000
2box_global_NH_FF,2.3762965300822235e-13,0.12066553914242446,-0.37657587422959876,1.0861356951846601,0.4463903153730124,54.2,45.800000000000004,False,False,1000
2box_global_SH_FF,0.15990952379166878,0.12209455392761032,-0.5244370486217462,0.5875046404713088,0.34693155501038997,81.8,18.2,False,False,1000
2box_global_NH_Mic,3.634727074946672,3.626042936644665,3.1548416322457706,4.019509197344958,0.2712959105622749,100.0,0.0,True,False,1000
2box_global_SH_Mic,1.2075234827368406,1.2281451776667518,0.8980023200262183,1.6140919400490967,0.23307625522893538,100.0,0.0,True,False,1000
2box_global_NH_BB,0.4991648033788016,0.4540614932218186,-0.08256243948290991,0.8235975766297582,0.2817679505238363,92.9,7.1,False,False,1000
2box_global_SH_BB,3.71793861085071e-16,0.034280725134445446,-0.1729986614168991,0.39158337070218846,0.1721939772321249,57.199999999999996,42.8,False,False,1000
1box_FF,-0.8222398980033037,-0.8916766768005061,-3.1559183653738136,1.1915561378503599,1.2967716987554168,24.6,75.4,False,False,1000
1box_Mic,5.416794195518598,5.459996051917811,4.416928600265664,6.6813266780445755,0.6899410242597304,100.0,0.0,True,False,1000
1box_BB,0.9930890920234698,0.9998023996998756,-0.14482370996770272,2.145203735543086,0.6972259161388401,92.60000000000001,7.3999999999999995,False,False,1000
