Year,PN_smooth_mean,TN_smooth_mean,TS_smooth_mean,PS_smooth_mean
2005.0192307692307,,,,-70.99865182131575
2005.0384615384614,,,,-70.71756937642596
2005.0576923076922,,,,-70.46625765398107
2005.0769230769229,,,,-70.24911417452216
2005.0961538461536,,,,-70.0682545602937
2005.1153846153843,,,,-68.91838926359962
2005.134615384615,,,,-68.9982303825996
2005.1538461538457,,,,-69.0442046710996
2005.1730769230765,,,,-69.03117657726628
2005.1923076923072,,,,-68.95240241676628
2005.2115384615379,-86.17262174224118,-80.50211381486494,-70.43982454191212,-68.82178369643293
2005.2307692307686,-86.90074460453624,-80.75559374662747,-70.84824901473293,-68.67129582893293
2005.2499999999993,-87.4231332681727,-80.99420387713708,-71.22563785460598,-68.54406301076625
2005.26923076923,-87.14124003343797,-80.8939830360884,-70.99500230485134,-68.48456284093292
2005.2884615384608,-86.7207775829875,-80.67227639198427,-71.07342356119622,-68.30798413431481
2005.3076923076915,-85.30683447930737,-80.11899426221618,-71.12705322276642,-68.47842984981482
2005.3269230769222,-84.80152691297403,-80.01772981918322,-71.64103683458978,-68.7910999074815
2005.346153846153,-84.36729958158507,-82.30071899860675,-71.8218418089937,-69.22621597931482
2005.3653846153836,-84.06534563975174,-82.41530393880612,-71.94546053773536,-69.73914686498148
2005.3846153846143,-83.78865452166842,-82.33480852410395,-72.00925303816034,-70.26812745623148
2005.403846153845,-83.52638108033509,-82.05604734745138,-72.02090692414203,-70.74592914189815
2005.4230769230758,-83.26581108941842,-81.59655954628457,-71.99740468663286,-71.11304386539815
2005.4423076923065,-82.99937308775174,-80.99054064668832,-71.96133191005445,-71.3295699454815
2005.4615384615372,-82.73091963158507,-80.28485212689102,-71.93765287270065,-71.38322991639815
2005.480769230768,-82.47944493908508,-79.5314126750908,-71.94631187591364,-71.29176342856482
2005.4999999999986,-82.27895038100175,-78.78547754694343,-71.99975212396734,-71.09914154448148
2005.5192307692294,-82.17405634275175,-78.09252254684064,-72.09947099722753,-70.86638112364814
2005.53846153846,-82.21198340725174,-77.4979324158469,-72.23528701921363,-70.65890283598148
2005.5576923076908,-82.43245767733507,-77.03566223753036,-72.38701525469511,-70.5331178872315
2005.5769230769215,-82.8576973211684,-76.72938944012209,-72.52806810672104,-70.52508181014814
2005.5961538461522,-83.48477687200173,-76.59065068386951,-72.6303277128374,-70.64358837914816
2005.615384615383,-84.28227626508506,-76.6226610857921,-72.6692491102639,-70.86909649798149
2005.6346153846137,-85.19228449391841,-76.80894079509378,-72.62818677040244,-71.15860654814814
2005.6538461538444,-86.13771700683509,-77.13781101590416,-72.50153076453122,-71.45531700773148
2005.673076923075,-86.13649525891742,-77.53706878974795,-72.29462151056022,-71.70087781056482
2005.6923076923058,-86.8338174520841,-78.03295161170345,-72.02428708532224,-71.84753756664816
2005.7115384615365,-87.38328368208408,-78.55653231705293,-71.71312995539725,-71.86756675464814
2005.7307692307672,-87.75777348445077,-79.06187038453507,-71.38688426781205,-71.7580001544815
2005.749999999998,-87.9544739014341,-79.51279181083449,-71.06971879783428,-71.53982433814816
2005.7692307692287,-87.99401608311743,-79.87917291116591,-70.78065668461115,-71.25199281281482
2005.7884615384594,-87.9154924892341,-80.14532295608844,-70.5314162911528,-70.94179369789816
2005.80769230769,-87.76835368995077,-80.31125404629643,-70.32599011411946,-70.65387217864814
2005.8269230769208,-87.6028012177841,-80.3927339422094,-70.16187586212595,-70.42044790548148
2005.8461538461515,-87.46057626555077,-80.4187289075089,-70.03250863514724,-70.25492377606483
2005.8653846153823,-87.36793090240079,-80.42640882279686,-69.9301997248065,-70.15024308806481
2005.884615384613,-87.33208647663412,-80.45438903219096,-69.8488172095102,-70.08221640948148
