Year,S_tot,Mic,FF,BB,f_mic,dD_src,d13C_src,KIE_D,physical
2006,557.3526,437.2951,120.0574,0.0000,0.7846,-277.2685,-54.9856,1.2977,True
2006,559.0460,388.1898,170.8562,0.0000,0.6944,-274.7413,-56.3321,1.2929,True
2006,539.6766,427.9343,46.3492,65.3931,0.7929,-275.6969,-55.2184,1.2953,True
2006,545.7908,394.4278,94.4484,56.9147,0.7227,-271.8303,-54.0084,1.2880,True
2006,541.6354,338.4427,185.0105,18.1821,0.6249,-273.2489,-55.7835,1.2908,True
2006,560.2462,422.7926,137.4536,0.0000,0.7547,-283.5522,-55.2986,1.3093,True
2006,557.5667,388.5847,109.1163,59.8657,0.6969,-271.5493,-54.0307,1.2871,True
2006,540.4668,436.0250,26.9682,77.4735,0.8068,-283.6989,-54.8054,1.3103,True
2006,534.5236,374.2451,160.2786,0.0000,0.7001,-274.5784,-55.9898,1.2934,True
2006,553.3634,463.9533,0.0000,89.4100,0.8384,-280.8698,-55.0127,1.3045,True
2006,554.3288,369.9502,135.4577,48.9209,0.6674,-279.2283,-55.0276,1.3014,True
2006,555.3438,388.9731,120.0640,46.3067,0.7004,-270.6558,-54.5201,1.2856,True
2006,569.4001,482.5828,0.0000,86.8173,0.8475,-272.2941,-55.0753,1.2881,True
2006,572.8696,456.2629,0.0000,116.6067,0.7965,-285.1574,-53.4595,1.3119,True
2006,520.9871,441.4065,0.0000,79.5806,0.8473,-279.4632,-53.1302,1.3030,True
2006,558.0057,383.9055,141.3232,32.7770,0.6880,-269.3384,-55.5837,1.2831,True
2006,537.2278,458.2210,0.0000,79.0068,0.8529,-277.3665,-55.1853,1.2985,True
2006,573.5248,449.4546,79.6181,44.4521,0.7837,-275.4047,-55.8555,1.2937,True
2006,556.2274,463.8150,0.0000,92.4125,0.8339,-283.1213,-54.5810,1.3086,True
2006,538.0115,448.6221,0.0000,89.3895,0.8339,-276.7068,-53.1216,1.2973,True
2006,550.9366,468.0346,18.9652,63.9368,0.8495,-286.3799,-54.9364,1.3150,True
2006,565.3581,479.7005,0.1986,85.4590,0.8485,-275.4983,-54.4156,1.2941,True
2006,535.2547,386.4181,143.5532,5.2834,0.7219,-279.3931,-55.3407,1.3024,True
2006,534.1977,456.3925,0.0000,77.8052,0.8544,-272.0156,-55.1573,1.2888,True
2006,558.7676,420.8778,127.3556,10.5343,0.7532,-274.1172,-56.0082,1.2918,True
2006,547.4256,397.0383,59.8580,90.5294,0.7253,-273.4084,-54.0669,1.2909,True
2006,544.4596,378.3647,125.6199,40.4749,0.6949,-272.8479,-54.5992,1.2899,True
2006,558.3006,489.8268,0.0000,68.4738,0.8774,-284.5739,-55.6435,1.3113,True
2006,549.6131,421.5140,106.3216,21.7776,0.7669,-267.0336,-56.0302,1.2792,True
2006,549.9408,489.4744,0.0000,60.4664,0.8900,-276.7779,-53.8945,1.2970,True
2006,559.0800,450.4795,0.0000,108.6005,0.8058,-281.6762,-54.4523,1.3058,True
2006,543.8222,468.5057,0.0000,75.3164,0.8615,-280.5465,-54.9691,1.3042,True
2006,546.4239,411.1505,56.3332,78.9401,0.7524,-272.5667,-54.6349,1.2893,True
2006,538.0517,380.0575,127.2244,30.7698,0.7064,-279.4770,-54.7829,1.3024,True
2006,563.4577,423.8486,84.3985,55.2107,0.7522,-274.8594,-55.0845,1.2930,True
2006,526.0573,343.7019,112.4765,69.8789,0.6534,-273.8449,-52.9283,1.2924,True
2006,546.5874,415.7436,90.1461,40.6977,0.7606,-281.4656,-54.7274,1.3058,True
2006,528.5372,480.2531,0.0000,48.2841,0.9086,-276.0126,-56.8594,1.2963,True
2006,552.8553,412.4881,57.8122,82.5550,0.7461,-272.6152,-53.8541,1.2892,True
2006,536.6577,493.5347,0.0000,43.1230,0.9196,-278.1791,-56.1944,1.3000,True
2006,550.2577,357.6614,176.5174,16.0790,0.6500,-271.0795,-54.5696,1.2865,True
2006,558.0873,374.7415,183.3458,0.0000,0.6715,-274.1825,-55.8202,1.2919,True
2006,550.0383,414.9832,71.0647,63.9904,0.7545,-276.8667,-54.8980,1.2971,True
2006,554.1653,531.7067,0.0000,22.4587,0.9595,-284.3237,-54.3577,1.3110,True
2006,512.1824,382.4806,53.2652,76.4367,0.7468,-280.0472,-54.7173,1.3044,True
2006,581.4869,392.1508,189.3362,0.0000,0.6744,-276.3203,-54.5057,1.2952,True
2006,543.8367,496.9073,0.0000,46.9294,0.9137,-292.0854,-53.9168,1.3262,True
2006,541.0325,351.4968,145.6978,43.8378,0.6497,-275.8172,-54.6215,1.2955,True
2006,533.5958,415.6633,22.7387,95.1938,0.7790,-285.2301,-54.3195,1.3134,True
2006,526.7461,450.0428,0.0000,76.7033,0.8544,-278.4700,-54.8661,1.3009,True
2006,545.9491,378.3779,116.8541,50.7171,0.6931,-271.0728,-53.9080,1.2866,True
2006,495.2300,331.7313,150.3722,13.1265,0.6699,-267.9774,-54.3038,1.2828,True
2006,557.9432,459.1574,1.6811,97.1046,0.8229,-273.3734,-54.9209,1.2905,True
2006,504.1266,460.2588,0.0000,43.8678,0.9130,-283.1815,-55.1133,1.3107,True
