Year,NH_mean,NH_std,SH_mean,SH_std,NH_SH_diff
2005,-84.91528600977098,0.5883964170377325,-69.34595455597885,0.23669981130071496,-15.569331453792131
2006,-82.70337987359616,0.24291261386931806,-69.13970766789743,0.21058956690977887,-13.563672205698737
2007,-81.7314582371521,0.3163273594008874,-69.95429546080449,0.2719638833487868,-11.777162776347609
2008,-82.18172481127307,0.28929994291460326,-69.93688592280769,0.19957434900936943,-12.244838888465381
2009,-80.97770125477766,0.31955366094661114,-69.56293917626539,0.24681502728377233,-11.414762078512268
2010,-86.41245734664813,0.7819862894596163,-71.40998323825157,0.21297729933903994,-15.002474108396555
2011,-85.22430602438813,0.3535427121247823,-70.95679459561539,0.1885301906769908,-14.267511428772735
2012,-85.380198104382,0.3366173489417185,-70.34892321404807,0.17555348329639936,-15.031274890333933
2013,-85.14097625397221,0.29812900003539267,-69.53338437803205,0.18823528188492117,-15.607591875940159
2014,-86.29440196036239,0.3088633156446812,-70.5260393211218,0.1860014397408555,-15.768362639240593
2015,-86.79617884213461,0.3985911528446677,-70.60450256751923,0.18994162856697575,-16.191676274615375
2016,-87.59414280487886,0.25903283135223204,-71.08028758032052,0.18311230272418683,-16.51385522455834
2017,-87.53810358279813,0.40233022568746923,-71.47110098951572,0.182744351152913,-16.06700259328241
2018,-87.78887455445384,0.3477416621990183,-72.21626381446153,0.22162135621071768,-15.572610739992314
2019,-88.04377520801305,0.41626871323215436,-72.48843801510577,0.1653140562235231,-15.555337192907274
2020,,,,,
2021,,,,,
2022,,,,,
2023,,,,,
