site_code,site_name,country,latitude,longitude,elevation_m,labs,n_observations,year_start,year_end,data_source
TMD,"Thurmont, Maryland",United States,39.5768,-77.4881,561.0,NOAA,102,2017.6,2019.7,Basu2022_ObsPack
TOM,Atmospheric Tomography Mission (ATom),United States,15.423807144165039,-114.43854522705078,,NOAA,589,2016.6,2017.1,Basu2022_ObsPack
TPD,"Turkey Point, Ontario",Canada,42.6354,-80.5577,231.0,EC,38996,2012.8,2017.4,Basu2022_ObsPack
TPI,Taiping Island,Taiwan,10.3786,114.3711,4.0,NOAA,54,2019.4,2019.9,Basu2022_ObsPack
TRM,Tromelin Island,France,-15.88,54.52,8.0,LSCE,130,2000.0,2007.3,Basu2022_ObsPack
TRN,Trainou,France,47.9647,2.1125,131.0,LSCE,91644,2006.7,2012.3,Basu2022_ObsPack
TTA,Tall Tower Angus,United Kingdom,56.5551,-2.9858,400.0,UOB,44137,2006.0,2012.8,Basu2022_ObsPack
ULB,Ulaanbaatar,Mongolia,47.4,106.0,1350.0,NOAA,556,2004.2,2009.2,Basu2022_ObsPack
USH,Ushuaia,Argentina,-54.8484,-68.3106,12.0,NOAA,1348,1994.7,2019.7,Basu2022_ObsPack
UTA,"Wendover, Utah",United States,39.9018,-113.7181,1327.0,NOAA,2827,1993.3,2020.0,Basu2022_ObsPack
UTO,Uto,Finland,59.7839,21.3672,8.0,FMI,43800,2012.2,2018.0,Basu2022_ObsPack
UUM,Ulaan Uul,Mongolia,44.4516,111.0956,1007.0,NOAA,2701,1992.0,2019.9,Basu2022_ObsPack
VGN,Vaganovo,Russia,54.4972,62.3247,192.0,NIES,58739,2008.4,2018.0,Basu2022_ObsPack
VKV,Voeikov,Russia,59.95,30.7,70.0,MGO,26250,2008.3,2013.0,Basu2022_ObsPack
WBI,"West Branch, Iowa",United States,41.7248,-91.3529,241.7,NOAA,6769,2004.7,2020.1,Basu2022_ObsPack
WGC,"Walnut Grove, California",United States,38.265,-121.4911,0.0,NOAA,305565,2007.7,2020.1,Basu2022_ObsPack
WIS,"Weizmann Institute of Science at the Arava Institute, Ketura",Israel,29.9646,35.0605,151.0,NOAA,2418,1995.9,2020.0,Basu2022_ObsPack
WKT,"Moody, Texas",United States,31.3149,-97.3269,251.0,NOAA,4429,2001.1,2020.1,Basu2022_ObsPack
WLG,Mt. Waliguan,Peoples Republic of China,36.2879,100.8964,3810.0,NOAA,3090,1990.6,2019.9,Basu2022_ObsPack
WPC,Western Pacific Cruise,N/A,2.4100000858306885,149.91000366210938,0.0,NOAA,593,2004.3,2013.4,Basu2022_ObsPack
WSA,"Sable Island, Nova Scotia",Canada,43.9322,-60.0093,5.0,EC,80469,2000.0,2017.4,Basu2022_ObsPack
YAK,Yakutsk,Russia,62.0886,129.3558,264.0,NIES,31016,2007.7,2013.9,Basu2022_ObsPack
YON,Yonagunijima,Japan,24.47,123.02,30.0,JMA,137608,2000.0,2018.0,Basu2022_ObsPack
ZEP,"Ny-Alesund, Svalbard",Norway and Sweden,78.9067,11.8883,474.0,NILU; NOAA,102948,1994.1,2020.0,Basu2022_ObsPack
ZGT,Zingst,Germany,54.43,12.73,1.0,UBA,23729,2000.0,2003.1,Basu2022_ObsPack
ZOT,"Zotino, Siberia",Russia,60.75,89.38,111.0,MPI-BGC,1498,2006.8,2017.2,Basu2022_ObsPack
ZSF,Zugspitze / Schneefernerhaus,Germany,47.42,10.98,2656.0,UBA,115768,2002.0,2018.0,Basu2022_ObsPack
comment,"Ny-Alesund, Svalbard",Norway and Sweden,78.9067,11.8883,474.0,NOAA,222779,1983,2024,NOAA_GML_2025
