site_code,site_name,country,latitude,longitude,elevation_m,labs,n_observations,year_start,year_end,data_source
CIB,Centro de Investigacion de la Baja Atmosfera (CIBA),Spain,41.81,-4.93,845.0,NOAA,995,2009.3,2019.9,Basu2022_ObsPack
CMA,"Offshore Cape May, New Jersey",United States,38.83,-74.32,0.0,NOAA,2824,2005.6,2020.0,Basu2022_ObsPack
CMN,Mt. Cimone Station,Italy,44.1936,10.6999,2165.0,UNIURB,78681,2008.5,2018.0,Basu2022_ObsPack
CMO,"Cape Meares, Oregon",United States,45.478,-123.9689,30.0,NOAA,1063,1983.3,1998.2,Basu2022_ObsPack
COB,COBRA,N/A,45.0,-90.9800033569336,,NOAA,652,1999.4,2003.5,Basu2022_ObsPack
COI,Cape Ochi-ishi,Japan,43.1603,145.4974,45.0,NIES,136493,2000.0,2016.0,Basu2022_ObsPack
CON,CONTRAIL (Comprehensive Observation Network for TRace gases by AIrLiner),,3.819999933242798,146.08999633789062,,NIES,2400,2005.9,2017.9,Basu2022_ObsPack
COS,Cosmos,Peru,-12.12,-75.33,4600.0,NOAA,2,1984.6,1984.6,Basu2022_ObsPack
CPS,"Chapais,Quebec",Canada,49.8223,-74.9753,391.0,EC,44244,2012.0,2017.4,Basu2022_ObsPack
CPT,Cape Point,South Africa,-34.3523,18.4891,230.0,SAWS; NOAA,115088,2000.0,2019.9,Basu2022_ObsPack
CRI,Cape Rama,India,15.08,73.83,60.0,CSIRO,230,2000.0,2013.0,Basu2022_ObsPack
CRV,Carbon in Arctic Reservoirs Vulnerability Experiment (CARVE),United States,64.9863,-147.598,611.43,NOAA,198991,2011.2,2020.1,Basu2022_ObsPack
CRZ,Crozet Island,France,-46.4337,51.8478,197.0,NOAA,2066,1991.2,2019.8,Basu2022_ObsPack
CVO,Cape Verde Observatory,Cabo Verde,16.864,-24.8675,10.0,MPI-BGC,1207,2007.2,2017.3,Basu2022_ObsPack
CYA,"Casey, Antarctica",Australia,-66.283,110.517,47.0,CSIRO,679,2000.0,2017.0,Basu2022_ObsPack
DEM,Demyanskoe,Russia,59.7914,70.8711,63.0,NIES,126901,2005.6,2018.0,Basu2022_ObsPack
DEU,Deuselbach,Germany,49.77,7.05,480.0,UBA,33820,2000.0,2004.6,Basu2022_ObsPack
DND,"Dahlen, North Dakota",United States,47.5,-99.24,472.44,NOAA,2192,2004.7,2016.9,Basu2022_ObsPack
DRP,Drake Passage,N/A,-59.0,-64.69,0.0,NOAA,642,2003.3,2019.9,Basu2022_ObsPack
DSI,Dongsha Island,Taiwan,20.6992,116.7297,3.0,NOAA,881,2010.2,2020.0,Basu2022_ObsPack
EGB,"Egbert, Ontario",Canada,44.231,-79.7838,251.0,EC,86187,2005.2,2017.0,Basu2022_ObsPack
EIC,Easter Island,Chile,-27.1597,-109.4284,47.0,NOAA,1866,1994.0,2019.9,Basu2022_ObsPack
ESP,"Estevan Point,  British Columbia",Canada,49.383,-126.5441,7.0,EC; NOAA,68521,2000.0,2019.9,Basu2022_ObsPack
EST,"Esther, Alberta",Canada,51.6707,-110.206,707.0,EC,62329,2010.1,2017.4,Basu2022_ObsPack
ETL,"East Trout Lake, Saskatchewan",Canada,54.3541,-104.9868,493.0,EC; NOAA,93836,2005.7,2020.1,Basu2022_ObsPack
FAM,FAAM Aircraft,United Kingdom,52.17914962768555,1.0945000648498535,,NOAA,22,2014.5,2015.4,Basu2022_ObsPack
FKL,"Finokalia, Crete",Greece,35.3378,25.6694,150.0,LSCE,29968,2000.5,2018.1,Basu2022_ObsPack
FNE,"Fort Nelson, British Columbia",Canada,58.8412,-122.5737,361.0,EC,14431,2014.5,2017.4,Basu2022_ObsPack
FSD,Fraserdale,Canada,49.8752,-81.57,210.0,EC,124100,2000.0,2017.4,Basu2022_ObsPack
FTL,Fortaleza,Brazil,-3.52,-38.28,3.0,NOAA,162,2000.9,2003.2,Basu2022_ObsPack
FWI,"Fairchild, Wisconsin",United States,44.66,-90.96,334.3,NOAA,381,2004.7,2005.9,Basu2022_ObsPack
GIF,Gif sur Yvette,France,48.71,2.1475,160.0,LSCE,51250,2004.7,2013.0,Basu2022_ObsPack
GMI,Mariana Islands,Guam,13.386,144.656,0.0,NOAA,5067,1983.3,2020.0,Basu2022_ObsPack
GOZ,"Dwejra Point, Gozo",Malta,36.048,14.889,1.0,NOAA,310,1993.8,1999.1,Basu2022_ObsPack
GPA,Gunn Point,Australia,-12.2488,131.0453,25.0,CSIRO,89,2010.6,2015.8,Basu2022_ObsPack
GSN,"Gosan, Cheju Island",Republic of Korea,33.28,126.15,72.0,NIER,64961,2002.1,2011.4,Basu2022_ObsPack
HAA,"Molokai Island, Hawaii",United States,21.23,-158.95,3.0,NOAA,2628,1999.4,2008.3,Basu2022_ObsPack
HAT,Hateruma Island,Japan,24.05,123.8,10.0,NIES,134193,2000.0,2016.0,Basu2022_ObsPack
HBA,"Halley Station, Antarctica",United Kingdom,-75.605,-26.21,30.0,NOAA,2600,1983.0,2019.0,Basu2022_ObsPack
HFM,"Harvard Forest, Massachusetts",United States,42.5378,-72.1714,340.0,NOAA,1746,1999.9,2016.6,Basu2022_ObsPack
HIL,"Homer, Illinois",United States,40.07,-87.91,201.5,NOAA,3426,2004.7,2020.1,Basu2022_ObsPack
