site_code,site_name,country,latitude,longitude,elevation_m,lab,project,n_observations,year_start,year_end,file
BMW,"Tudor Hill, Bermuda",United Kingdom,32.2647,-64.8788,30.0,NOAA,surface-flask,2414,1989.4,2020.0,ch4_BMW_surface_event_NOAA.nc
BNE,"Beaver Crossing, Nebraska",United States,40.8,-97.18,465.9,NOAA,aircraft-flask,1118,2004.7,2011.4,ch4_BNE_aircraft_event_NOAA.nc
BRA,Bratt's Lake Saskatchewan,Canada,50.2017,-104.7113,595.0,EC,surface-insitu,50068,2009.8,2017.4,ch4_BRA_surface_hourly_EC.nc
BRW,Barrow Atmospheric Baseline Observatory,United States,71.323,-156.6114,11.0,NOAA,surface-flask,7238,1983.3,2020.0,ch4_BRW_surface_event_NOAA.nc
BRW,Barrow Atmospheric Baseline Observatory,United States,71.323,-156.6114,11.0,NOAA,surface-insitu,263674,1986.1,2020.1,ch4_BRW_surface_hourly_NOAA.nc
BRZ,Berezorechka,Russia,56.15,84.3333,168.0,NIES,surface-insitu,130694,2008.3,2018.0,ch4_BRZ_surface_hourly_NIES.nc
BSC,"Black Sea, Constanta",Romania,44.1776,28.6647,0.0,NOAA,surface-flask,1703,1994.8,2012.0,ch4_BSC_surface_event_NOAA.nc
BWD,"Brentwood, Maryland",United States,38.9343,-76.9556,16.8,NOAA,surface-flask,25,2018.7,2019.7,ch4_BWD_surface_event_NOAA.nc
CAR,"Briggsdale, Colorado",United States,40.6347,-104.3269,1488.0,NOAA,aircraft-flask,10337,1992.9,2020.1,ch4_CAR_aircraft_event_NOAA.nc
CBA,"Cold Bay, Alaska",United States,55.21,-162.72,21.34,NOAA,surface-flask,6097,1983.4,2020.0,ch4_CBA_surface_event_NOAA.nc
CBW,Cabauw,Netherlands,51.9703,4.9264,0.0,ECN,surface-insitu,184575,2005.0,2013.4,ch4_CBW_surface_hourly_ECN.nc
CBY,"Cambridge Bay, Nunavut Territory",Canada,69.1284,-105.0577,35.0,EC,surface-insitu,37779,2013.0,2017.7,ch4_CBY_surface_hourly_EC.nc
CDL,"Candle Lake, Saskatchewan",Canada,53.9871,-105.1179,600.0,EC,surface-insitu,31526,2002.5,2008.0,ch4_CDL_surface_hourly_EC.nc
CEA,CONTRAIL (Comprehensive Observation Network for TRace gases by AIrLiner),,63.56,83.97,-9999.99,NIES,aircraft-flask,887,2012.3,2018.9,ch4_CEA_aircraft_event_NIES.nc
CFA,"Cape Ferguson, Queensland",Australia,-19.28,147.057,2.0,CSIRO,surface-flask,674,2000.0,2016.9,ch4_CFA_surface_event_CSIRO.nc
CGO,"Cape Grim, Tasmania",Australia,-40.683,144.69,94.0,NOAA,surface-flask,3269,1984.3,2019.7,ch4_CGO_surface_event_NOAA.nc
