Year,Lifetime_NH,Lifetime_SH,Source_NH_Tg,Source_SH_Tg,Source_Global_Tg,BB_NH_mean,BB_NH_std,FF_NH_mean,FF_NH_std,Mic_NH_mean,Mic_NH_std,BB_SH_mean,BB_SH_std,FF_SH_mean,FF_SH_std,Mic_SH_mean,Mic_SH_std,BB_Global_mean,BB_Global_std,FF_Global_mean,FF_Global_std,Mic_Global_mean,Mic_Global_std
1999,8.727649999999999,9.64635,406.89223040703484,140.96000620250362,547.8522366095385,0.7656257919630222,3.2167784292949935,175.67494098776427,18.31074963210533,230.45166362729273,18.30127879449751,29.514575435165845,5.1435667377311205,3.6196620940629693e-12,3.205207841348937e-11,111.4454307673366,5.143566737727684,30.28020122712887,6.736064714025467,175.6749409877679,18.310749632101842,341.8970943946292,22.946870042829683
2000,8.7115,9.6285,404.512469580627,135.90998476990862,540.4224543505356,0.929249947425786,3.6327696583193347,170.7974585835071,18.098208523162373,232.7857610496799,18.06471537085393,24.655162147697656,4.955447902267227,8.318177981859918e-12,4.363587106570506e-11,111.25482262220538,4.955447902264171,25.58441209512344,6.95523692346454,170.79745858351544,18.098208523158416,344.04058367188526,22.576462390566807
2001,8.69535,9.610650000000001,411.00612271271456,139.78049483107424,550.7866175437888,0.7842751090731553,3.2674528501747315,183.0300995677479,17.79856669853207,227.19174803587904,17.784509439752075,25.749588724189014,4.978923836447316,6.188358787611704e-12,3.514793896963141e-11,114.03090610688106,4.978923836444963,26.53386383326217,6.6698514683572245,183.03009956775415,17.798566698530614,341.22265414276006,22.32141710620307
2002,8.679199999999998,9.5928,417.62609335532824,143.72184127706282,561.3479346323911,0.4536075628320782,2.3569540711594565,189.4539723438572,17.885909617367084,227.71851344862247,17.95868706005403,26.53861458281256,5.1396695390796125,1.030858012576398e-11,4.982643673933215e-11,117.18322669424221,5.139669539079025,26.992222145644636,6.135233093913291,189.45397234386752,17.885909617365407,344.9017401428647,22.694517823197067
2003,8.66305,9.57495,413.26066600017583,136.62694982612004,549.8876158262958,0.5182246448301503,2.6441549150628663,177.65852349495563,18.30520094553043,235.08391786037367,18.345733898003303,20.74351902213052,4.96651030761799,1.3268609669811955e-11,5.920427987931692e-11,115.88343080397853,4.966510307619146,21.26174366696067,6.152181308214548,177.65852349496888,18.30520094552874,350.9673486643522,22.995745784492915
2004,8.6469,9.5571,411.38819854251636,132.1007030622011,543.4889016047175,0.758718946814847,3.2772998963159266,176.0601353306426,18.03061877689385,234.56934426504375,18.02102106915411,20.90852160268989,4.811237032189796,3.3318970917661197e-07,1.053067445024407e-05,111.19218112632413,4.811236535747005,21.667240549504744,6.518036516258875,176.0601356638323,18.03061833917524,345.7615253913679,22.471229882962742
2005,8.63075,9.539250000000001,417.95950321587725,136.05799461378695,554.0174978296642,0.8983746681220796,3.7922460470503383,180.7299925013423,18.233036525688217,236.3311360463973,18.078938206739245,25.336987305400402,4.88983911624829,1.0032005504735734e-11,4.2917505205958085e-11,110.721007308378,4.889839116256193,26.23536197352248,7.014049696169846,180.72999250135234,18.233036525684305,347.05214335477524,22.475412920212143
2006,8.6146,9.5214,427.8507514248812,143.27718828812215,571.1279397130033,0.36075966110613467,2.2542611852631764,195.09589856267738,18.423074225902216,232.3940932010797,18.34060968179967,28.918083813524493,5.181767835983057,8.409674453096961e-10,1.8687358421160973e-08,114.3591044737592,5.181767836126141,29.278843474630627,5.939410768255901,195.09589856351838,18.423074226069122,346.75319767483893,23.062473932832013
2007,8.59845,9.50355,429.64271968192793,142.30864534704182,571.9513650289698,0.0646439738120365,0.7626596320022283,185.25461704764928,19.17298502348789,244.3234586604421,19.216028870614835,20.131296187188493,5.019124466322623,9.805710477560484e-12,5.820783190166429e-11,122.17734915984582,5.019124466325119,20.195940161000532,5.161167979835124,185.25461704765905,19.17298502348956,366.5008078202879,23.983509854700106
2008,8.5823,9.485700000000001,433.67605038737435,143.59262711738637,577.2686775047607,6.11406165558053,11.47174555642392,179.10545507987362,23.750717989457684,248.45653365191265,18.193989661526437,22.245157015122672,5.376085682043646,7.283165209268873e-11,1.7668786757438893e-09,121.34747010218419,5.376085682116129,28.3592186707032,14.733395391474252,179.10545507994644,23.750717989487942,369.8040037540968,22.109199032040372
