levels ap bp p_inter_def
0 0.0 1.0 1013.25
1 2.81706852929675 0.988762998564637 1004.6811768249152
2 6.36375366859432 0.974701632524877 993.9801828244259
3 11.364155943717002 0.955030180542262 979.048486378164
4 18.494473729615198 0.927265686818222 958.0464308981785
5 28.379280405897 0.889271183017204 929.433306598079
6 41.5750869711024 0.839314287303751 892.0102885816282
7 58.522641755355195 0.776176963345792 844.9839498654788
8 79.44827602575211 0.699355000528228 788.069730310979
9 104.197321060548 0.609380929528209 721.6525479050058
10 131.995402485757 0.508279179863367 647.0092814823137
11 161.16838631109 0.400093029287433 566.5626482365815
12 188.925506083084 0.291276044521652 484.0609581946479
13 211.427861688347 0.1905059741263 404.4580399718205
14 224.468782335346 0.107270901645713 333.1610234278647
15 224.97759505707398 0.0488076380330498 274.4319342940617
16 212.89451404089198 0.0163000324948695 229.4105219663185
17 191.86444852173298 0.00344452582803985 195.35461431699437
18 167.260167170181 0.000364568302239398 167.62956600242507
19 142.96607539868901 1.32673501351578e-05 142.97951854121345
20 120.455252156898 8.94025963956579e-08 120.45534274407879
21 100.080699708566 3.93038386309706e-11 100.08069974839061
22 81.95306881585181 1.85617183702948e-16 81.95306881585199
23 66.09577348093481 3.81418691876566e-25 66.09577348093481
24 52.460624164579706 9.62385916256612e-40 52.460624164579706
25 40.9397069658929 4.5206602224536e-65 40.9397069658929
26 31.3787110503367 1.46258410571586e-110 31.3787110503367
27 23.590674763852498 2.18996926640889e-195 23.590674763852498
28 17.3692080010302 0.0 17.3692080010302
29 12.500441331628998 0.0 12.500441331628998
30 8.773177660661041 0.0 8.773177660661041
31 5.9869518472359005 0.0 5.9869518472359005
32 3.95791432392045 0.0 3.95791432392045
33 2.52262962812769 0.0 2.52262962812769
34 1.54001062228325 0.0 1.54001062228325
35 0.891691757654163 0.0 0.891691757654163
36 0.48118336844774 0.0 0.48118336844774
37 0.232150838051844 0.0 0.232150838051844
38 0.0861367138231894 0.0 0.0861367138231894
39 0.0 0.0 0.0
