label,slope_median,slope_p5,slope_p95,p_positive,significant_90,n_valid
2box_NH_FF,-3.8450914636899576,-6.495281330250042,-1.548694410159996,0.5,True,1000
2box_SH_FF,1.312457803347364,0.07058773089432328,2.8343679420522014,95.6,True,1000
2box_Global_FF,-2.4890039430788775,-5.129945374893292,-0.05191419479648789,4.7,True,1000
2box_NH_Mic,6.563765984648983,5.13861991842361,8.129637316999979,100.0,True,1000
2box_SH_Mic,-1.0713319015935128,-2.42184228429112,0.21241091056123615,8.4,False,1000
2box_Global_Mic,5.566836053646377,3.850014823658246,7.200048595699018,100.0,True,1000
2box_NH_BB,2.2633265855917672,0.33529440471646854,3.99583325759257,97.8,True,1000
2box_Global_BB,2.2267600770256255,0.31964754623011604,3.959303999150102,97.8,True,1000
1box_FF,-1.8197918221138494,-4.0710451539046595,0.03452627570302151,6.9,False,1000
1box_Mic,5.4772692826464215,4.1425993312311284,6.758072201507632,100.0,True,1000
1box_BB,1.5379958481093294,0.39507967588986603,2.7345759851113285,98.6,True,1000
