Year,BB_G_mean,BB_G_std,FF_G_mean,FF_G_std,Mic_G_mean,Mic_G_std,BB_NHext_mean,BB_NHext_std,FF_NHext_mean,FF_NHext_std,Mic_NHext_mean,Mic_NHext_std,BB_Trop_mean,BB_Trop_std,FF_Trop_mean,FF_Trop_std,Mic_Trop_mean,Mic_Trop_std,BB_SHext_mean,BB_SHext_std,FF_SHext_mean,FF_SHext_std,Mic_SHext_mean,Mic_SHext_std
1999,36.430200833145165,10.13999086699573,170.3410760487911,16.798045267555562,356.0766018244487,20.878574173477524,24.54799676031719,4.643076100383001,6.806647269705268e-06,0.00016107979643228507,125.19444152631523,5.214527385359331,0.009931764314415378,0.2006484618929354,143.87495967162783,14.385312532897105,165.59959179243006,15.182973918882597,11.872272308513564,6.759235278014166,26.466109570515993,12.242930403445973,65.28256850570335,6.930715221984247
2000,36.13876254687883,10.069125363250208,173.86802588879362,16.85643407719984,356.59975639782806,20.96758037033696,25.013149789165,4.682156055624193,6.6507471852846015e-06,0.0001299443876979204,125.66078544289633,5.232334702473117,0.008312699236045227,0.17380109464892926,145.04193484128828,14.416329974715502,166.33713171712677,15.147694027518225,11.117300058477788,6.676460857369244,28.826084396758162,12.067641068903104,64.60183923780495,6.8281473897404785
2001,35.45189571978674,10.010961444701119,172.36605059075197,16.923228350346502,358.7620763761249,21.096184304896433,24.785206365649522,4.684043875063275,6.028892200865658e-06,0.00010589626013226468,125.8688713321601,5.232435118627317,0.006829197257816349,0.14213169108626822,143.506932353043,14.496141887416151,167.89588514938498,15.203560452346297,10.659860156879407,6.625223387411856,28.859112208816768,11.950788586076747,64.99731989457983,6.780062179888606
2002,35.163079057265016,10.0268758088345,169.2086947081557,17.023882724566228,361.3612046516986,21.184324689056133,24.45086484309182,4.6794600683973675,6.028883817490979e-06,0.00010589626060721696,125.97079304876603,5.215400401527752,0.008158475402018488,0.14595353273801703,141.37698172342078,14.56087892706412,169.65834066682967,15.208562048831004,10.704055738771174,6.643280996381441,27.83170695585109,11.950586468433354,65.73207093610291,6.777526132493246
2003,34.659918451993406,9.953514651621798,172.588266692907,17.078531595437134,361.22406663788433,21.192904762085185,24.720415486230046,4.686631228727062,0.0007566915092064337,0.023796956425578213,126.36895817185042,5.221208545120193,0.006822301200531735,0.11262891207801078,142.45105412545232,14.53437191831968,170.0024494437552,15.186464635408038,9.932680664562831,6.592165019120411,30.136455875945476,11.905344038237175,64.85265902227873,6.763398010833153
2004,37.06712595938151,9.989100770326402,171.08782387578873,16.873453301023794,364.4099649360251,21.24250366914538,25.160483144732833,4.719103097365109,0.0007604011746802902,0.023797197553835615,126.93237739839559,5.248713334225571,0.008205222048704115,0.11188011419364134,144.03943960684126,14.508984391663938,170.51410775801423,15.165338754017133,11.898437592599967,6.523937940432399,27.04762386777278,11.578702476058272,66.9634797796153,6.600128793098529
2005,37.30997756794747,10.119255687544698,166.83841589787167,16.94635200728486,370.56871520065806,21.41488404685864,24.720438918375343,4.7166310267561276,0.0007647931032378142,0.02379768467975618,127.88507556803644,5.256182271862311,0.007514121249929644,0.10705710640790696,142.3677418896689,14.65990971642172,173.33122904451866,15.327928121283428,12.582024528322195,6.62396005054823,24.46990921509951,11.721194047010519,69.35241058810294,6.6496981119758996
2006,38.009866334702195,10.09179109104164,168.52395119140778,17.073157219984175,373.69252154254633,21.585713964667654,25.031835903713482,4.741544104525682,0.0008804659676076842,0.024044662625011485,128.9242661275946,5.273963262493486,0.007335083381873469,0.1046658742855745,143.9651983825466,14.713363457554784,174.56010467335187,15.366448573343533,12.970695347606839,6.581566856214437,24.557872342893557,11.69662571953917,70.20815074159987,6.651036496656372
2007,39.44254801255095,10.085731734539108,168.27198515218467,16.92953760687543,379.3001422412262,21.824749978735166,25.491188880331453,4.790678090669691,0.0008805914641349877,0.02404465835676801,130.12759417360547,5.32419995596913,0.03622455387837337,0.3295178439269575,145.43375278129608,14.797469091988773,176.54683231230257,15.494561842196758,13.915134578341123,6.410886749126823,22.837351779424463,11.193199109314591,72.62571575531808,6.432240834898044
2008,39.79269942363858,10.184898207377662,167.97774131764487,17.085192342098612,383.82102121984434,22.02518388606855,25.520197435952397,4.824328385250164,0.00012984546784378608,0.0034706745248318433,131.19963448926282,5.344035879666749,0.03584576293646288,0.32574664138602466,145.5728832624721,14.954320619421175,178.80895402691465,15.592343358428199,14.236656224749721,6.494872732610035,22.404728209704906,11.342409661028167,73.81243270366694,6.480262903972013
