site_code,site_name,country,latitude,longitude,elevation_m,lab,project,n_observations,year_start,year_end,file
ARH,"Arrival Heights, Antarctica",New Zealand,-77.833,166.66,184.0,NIWA,surface-flask,154,2000.5,2016.0,ch4_ARH_surface_event_NIWA.nc
ACG,Alaska Coast Guard,United States,57.7366,-152.5042,6.0,NOAA/INSTAAR,aircraft-flask,809,2012.3,2017.8,ch4c13_ACG_aircraft_event_NOAA-INSTAAR.nc
ACT,Atmospheric Carbon and Transport - America,United States,38.2357,-91.0669,-9999.99,NOAA/INSTAAR,aircraft-flask,1367,2016.5,2019.6,ch4c13_ACT_aircraft_event_NOAA-INSTAAR.nc
ALK,Alaska,United States,64.45,-148.66,-9999.99,NIPR,aircraft-flask,63,2006.6,2006.6,ch4c13_ALK_aircraft_event_NIPR.nc
ALT,"Alert, Nunavut",Canada,82.4508,-62.5072,185.0,MPI-BGC,surface-flask,305,2011.1,2017.4,ch4c13_ALT_surface_event_MPI-BGC.nc
ALT,"Alert, Nunavut",Canada,82.4508,-62.5072,185.0,NOAA/INSTAAR,surface-flask,2711,2000.6,2020.3,ch4c13_ALT_surface_event_NOAA-INSTAAR.nc
AMY,Anmyeon-do,Republic of Korea,36.5389,126.3295,47.0,NOAA/INSTAAR,surface-flask,363,2013.9,2020.2,ch4c13_AMY_surface_event_NOAA-INSTAAR.nc
ARH,"Arrival Heights, Antarctica",New Zealand,-77.833,166.66,184.0,NIWA,surface-flask,154,2000.5,2016.0,ch4c13_ARH_surface_event_NIWA.nc
ASC,Ascension Island,United Kingdom,-7.9667,-14.4,85.0,NOAA/INSTAAR,surface-flask,3174,2000.8,2020.3,ch4c13_ASC_surface_event_NOAA-INSTAAR.nc
AZR,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,NOAA/INSTAAR,surface-flask,939,2000.7,2020.2,ch4c13_AZR_surface_event_NOAA-INSTAAR.nc
BAL,Baltic Sea,Poland,55.35,17.22,3.0,NOAA/INSTAAR,surface-flask,538,2008.3,2011.5,ch4c13_BAL_surface_event_NOAA-INSTAAR.nc
BHD,Baring Head Station,New Zealand,-41.4083,174.871,85.0,NIWA,surface-flask,251,2000.1,2015.3,ch4c13_BHD_surface_event_NIWA.nc
BHD,Baring Head Station,New Zealand,-41.4083,174.871,85.0,NOAA/INSTAAR,surface-flask,310,2009.2,2019.9,ch4c13_BHD_surface_event_NOAA-INSTAAR.nc
BIK,Bialystok,Poland,53.2,22.75,183.0,MPI-BGC,surface-flask,65,2012.5,2016.9,ch4c13_BIK_surface_event_MPI-BGC.nc
BMW,"Tudor Hill, Bermuda",United Kingdom,32.2647,-64.8788,30.0,NOAA/INSTAAR,surface-flask,2,2018.6,2018.6,ch4c13_BMW_surface_event_NOAA-INSTAAR.nc
